'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for November 2020,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/11/2020,2.4,0.0, ,14.2,9.1,95,76,3.84,17.80
TASMAN ISLAND,02/11/2020,3.5,0.0, ,19.9,10.4,100,63,6.06,20.71
TASMAN ISLAND,03/11/2020,7.0,0.0, ,25.5,13.1,65,26,8.08,17.40
TASMAN ISLAND,04/11/2020,5.2,0.0, ,20.8,16.8,86,41,9.39,18.68
TASMAN ISLAND,05/11/2020,2.7,1.8, ,13.2,6.2,92,60,4.74,18.53
TASMAN ISLAND,06/11/2020,2.1,0.0, ,12.9,7.9,94,57,7.59,6.02
TASMAN ISLAND,07/11/2020,2.4,6.4, ,10.5,3.6,89,63,8.54,17.71
TASMAN ISLAND,08/11/2020,3.3,0.4, ,13.6,6.0,84,59,2.90,24.12
TASMAN ISLAND,09/11/2020,3.7,0.0, ,15.2,8.6,95,59,9.36,28.03
TASMAN ISLAND,10/11/2020,4.1,0.0, ,18.6,11.5,93,62,7.23,27.40
TASMAN ISLAND,11/11/2020,4.8,0.0, ,20.7,13.6,90,57,9.70,27.28
TASMAN ISLAND,12/11/2020,4.5,0.6, ,21.1,13.9,100,52,10.01,21.93
TASMAN ISLAND,13/11/2020,2.9,0.2, ,17.1,13.0,99,54,5.02,13.03
TASMAN ISLAND,14/11/2020,2.4,1.6, ,15.4,9.8,100,64,2.20,14.04
TASMAN ISLAND,15/11/2020,2.3,0.6, ,15.6,10.0,99,56,4.92,9.26
TASMAN ISLAND,16/11/2020,2.3,7.8, ,16.3,10.0,100,68,6.77,11.88
TASMAN ISLAND,17/11/2020,3.5,8.2, ,14.1,9.2,93,65,6.02,27.84
TASMAN ISLAND,18/11/2020,4.8,0.0, ,20.4,9.1,89,44,4.86,26.61
TASMAN ISLAND,19/11/2020,3.1,0.0, ,17.8,13.1,100,33,5.58,6.85
TASMAN ISLAND,20/11/2020,2.6,0.0, ,12.5,11.9,100,62,8.36,17.94
TASMAN ISLAND,21/11/2020,3.5,0.0, ,14.5,8.6,92,67,8.65,28.61
TASMAN ISLAND,22/11/2020,2.0,0.0, ,16.4,11.9,100,83,7.88,15.08
TASMAN ISLAND,23/11/2020,2.5,1.0, ,14.4,10.0,100,73,5.88,18.06
TASMAN ISLAND,24/11/2020,3.3,0.0, ,18.2,10.0,93,65,4.36,20.17
TASMAN ISLAND,25/11/2020,6.2,0.0, ,25.1,12.5,78,34,5.10,26.84
TASMAN ISLAND,26/11/2020,4.0,0.0, ,15.1,11.7,84,52,7.68,23.05
TASMAN ISLAND,27/11/2020,3.5,0.0, ,16.8,8.9,97,69,9.88,27.78
TASMAN ISLAND,28/11/2020,4.7,0.0, ,19.2,11.0,85,45,3.05,27.63
TASMAN ISLAND,29/11/2020,3.0,0.0, ,14.3,10.6,93,68,7.80,21.07
TASMAN ISLAND,30/11/2020,3.8,0.0, ,16.1,9.1,94,59,8.16,26.92
Totals:,,106.1,28.6, ,,,,,, 
