'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for December 2020,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/12/2020,5.0,0.0, ,22.0,12.5,90,42,13.96,9.17
TASMAN ISLAND,02/12/2020,4.2,1.6, ,14.6,7.5,74,46,6.33,23.93
TASMAN ISLAND,03/12/2020,3.4,0.0, ,16.4,8.9,90,51,4.34,18.23
TASMAN ISLAND,04/12/2020,3.9,0.8, ,15.6,10.9,83,59,7.32,24.36
TASMAN ISLAND,05/12/2020,2.2,0.0, ,14.6,8.6,100,64,11.32,7.79
TASMAN ISLAND,06/12/2020,3.9,7.8, ,13.5,11.0,83,51,7.80,23.80
TASMAN ISLAND,07/12/2020,2.5,0.2, ,11.6,7.9,90,63,6.63,14.48
TASMAN ISLAND,08/12/2020,3.2,5.8, ,14.6,5.7,88,57,3.96,20.75
TASMAN ISLAND,09/12/2020,4.0,0.0, ,19.3,8.3,99,51,5.33,22.77
TASMAN ISLAND,10/12/2020,2.7,6.4, ,10.6,5.0,91,61,10.51,21.50
TASMAN ISLAND,11/12/2020,2.9,1.0, ,13.1,6.3,95,65,6.76,21.34
TASMAN ISLAND,12/12/2020,3.1,0.2, ,13.9,9.0,93,80,6.80,28.68
TASMAN ISLAND,13/12/2020,3.3,0.0, ,16.0,10.5,96,72,15.53,30.10
TASMAN ISLAND,14/12/2020,5.7,0.0, ,22.8,13.3,92,56,13.02,31.89
TASMAN ISLAND,15/12/2020,3.9,0.0, ,18.8,15.8,91,53,7.31,17.45
TASMAN ISLAND,16/12/2020,2.8,0.0, ,14.9,9.8,83,55,3.56,13.30
TASMAN ISLAND,17/12/2020,1.5,11.2, ,14.1,10.1,100,81,3.10,8.00
TASMAN ISLAND,18/12/2020,2.9,5.4, ,13.7,11.0,100,64,5.40,19.55
TASMAN ISLAND,19/12/2020,3.7,2.2, ,14.3,8.9,95,54,3.73,25.49
TASMAN ISLAND,20/12/2020,3.3,0.2, ,14.8,8.7,83,59,3.96,20.48
TASMAN ISLAND,21/12/2020, ,0.0, , ,10.8,96,64,4.83,26.32
TASMAN ISLAND,22/12/2020,1.5, , ,15.7,12.6,100,89,3.12,8.71
TASMAN ISLAND,23/12/2020,3.3,16.8, ,17.4,11.2,100,58,6.65,18.34
TASMAN ISLAND,24/12/2020,3.1,0.2, ,13.3,8.9,92,59,5.91,19.57
TASMAN ISLAND,25/12/2020,3.8,2.6, ,14.7,7.4,83,53,5.40,24.05
TASMAN ISLAND,26/12/2020,4.4,0.0, ,16.8,9.7,100,51,10.99,31.40
TASMAN ISLAND,27/12/2020,2.3,0.0, ,17.7,13.4,100,74,13.80,11.66
TASMAN ISLAND,28/12/2020,3.7,11.0, ,15.2,6.8,89,53,4.15,24.69
TASMAN ISLAND,29/12/2020,3.8,0.0, ,18.5,9.6,98,55,3.66,22.58
TASMAN ISLAND,30/12/2020,3.7,0.0, ,18.7,11.3,99,52,2.69,21.44
TASMAN ISLAND,31/12/2020,2.3,1.2, ,14.9,9.9,100,60,3.24,12.04
Totals:,,100,74.6, ,,,,,, 
