'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for January 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/01/2021,3.3,0.0, ,15.0,11.2,79,66,4.47,19.35
TASMAN ISLAND,02/01/2021,4.2,0.0, ,16.9,12.2,87,69,8.78,31.45
TASMAN ISLAND,03/01/2021,3.1,0.0, ,18.8,12.2,99,71,4.28,18.60
TASMAN ISLAND,04/01/2021,3.3,0.4, ,17.6,12.4,98,72,3.20,21.78
TASMAN ISLAND,05/01/2021,4.5,0.0, ,18.9,12.3,87,66,2.88,29.69
TASMAN ISLAND,06/01/2021,2.6,0.0, ,15.2,11.4,100,60,6.95,12.47
TASMAN ISLAND,07/01/2021,2.9,0.0, ,16.1,10.9,89,67,4.68,15.96
TASMAN ISLAND,08/01/2021,4.3,0.0, ,17.6,11.7,92,64,3.46,29.31
TASMAN ISLAND,09/01/2021,4.0,0.0, ,17.8,12.0,90,65,3.55,26.12
TASMAN ISLAND,10/01/2021,3.4,0.0, ,18.9,13.2,100,65,3.51,20.20
TASMAN ISLAND,11/01/2021,6.5,0.2, ,27.1,13.2,100,35,8.09,22.66
TASMAN ISLAND,12/01/2021,2.6,14.2, ,15.1,12.8,100,63,5.91,14.78
TASMAN ISLAND,13/01/2021,3.5,2.6, ,17.9,11.1,100,70,9.31,26.25
TASMAN ISLAND,14/01/2021,3.7,7.0, ,18.9,12.0,99,57,5.42,20.85
TASMAN ISLAND,15/01/2021,1.8,14.8, ,14.7,9.8,98,64,2.68,7.58
TASMAN ISLAND,16/01/2021,2.8,46.8, ,15.3,8.8,98,62,8.38,15.61
TASMAN ISLAND,17/01/2021,2.6,6.2, ,15.8,7.2,90,61,5.70,11.95
TASMAN ISLAND,18/01/2021,3.3,0.8, ,17.5,10.1,98,57,9.16,16.56
TASMAN ISLAND,19/01/2021,3.2,4.2, ,12.0,6.4,92,53,12.22,21.27
TASMAN ISLAND,20/01/2021,4.0,0.6, ,14.7,7.9,82,59,5.33,29.08
TASMAN ISLAND,21/01/2021,3.7,0.0, ,18.1,10.3,96,68,2.68,25.07
TASMAN ISLAND,22/01/2021,4.0,0.0, ,19.5,12.3,85,38,6.00,12.19
TASMAN ISLAND,23/01/2021,4.8,0.0, ,21.3,11.6,85,46,3.15,27.35
TASMAN ISLAND,24/01/2021,3.6,0.0, ,25.1,13.9,100,76,5.81,20.76
TASMAN ISLAND,25/01/2021,7.2,0.0, ,31.3,15.4,100,30,8.45,16.26
TASMAN ISLAND,26/01/2021,3.9,25.0, ,18.4,12.3,100,49,5.78,21.16
TASMAN ISLAND,27/01/2021,2.3,0.6, ,14.8,8.9,95,59,7.06,8.00
TASMAN ISLAND,28/01/2021,3.1,0.0, ,14.1,9.6,72,57,3.53,16.50
TASMAN ISLAND,29/01/2021,2.6,0.0, ,18.1,10.6,100,64,9.03,10.24
TASMAN ISLAND,30/01/2021,2.6,28.6, ,19.7,13.2,100,78,8.12,16.56
TASMAN ISLAND,31/01/2021,3.4,0.0, ,17.3,11.9,87,60,4.14,19.57
Totals:,,110.8,152, ,,,,,, 
