'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for February 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 March 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/02/2021,2.4,0.0, ,19.0,13.9,100,75,8.16,12.71
TASMAN ISLAND,02/02/2021,3.4,22.0, ,15.6,11.1,95,60,7.10,22.06
TASMAN ISLAND,03/02/2021,2.8,0.0, ,16.1,10.9,100,58,3.14,16.59
TASMAN ISLAND,04/02/2021,1.7,8.4, ,19.8,11.9,100,95,6.90,14.29
TASMAN ISLAND,05/02/2021,0.5,1.6, ,18.4,15.6,100,100,11.21,3.37
TASMAN ISLAND,06/02/2021,4.4,11.6, ,23.6,17.4,100,51,9.34,16.37
TASMAN ISLAND,07/02/2021,2.4,2.2, ,13.5,11.4,100,65,6.82,14.79
TASMAN ISLAND,08/02/2021,2.4,0.2, ,14.7,10.1,92,65,5.79,12.02
TASMAN ISLAND,09/02/2021,3.1,4.4, ,13.6,9.1,79,48,3.93,16.98
TASMAN ISLAND,10/02/2021,3.9,0.0, ,15.8,9.3,80,57,5.48,26.35
TASMAN ISLAND,11/02/2021,2.8,0.0, ,18.2,12.0,99,69,9.95,15.24
TASMAN ISLAND,12/02/2021,4.6,8.2, ,21.4,14.8,100,49,7.23,24.06
TASMAN ISLAND,13/02/2021,3.3,0.0, ,16.0,12.9,85,66,4.63,20.91
TASMAN ISLAND,14/02/2021,3.1,0.0, ,18.4,12.1,93,66,4.27,18.98
TASMAN ISLAND,15/02/2021,2.2,0.2, ,16.1,11.9,98,69,5.09,11.63
TASMAN ISLAND,16/02/2021,3.6,0.0, ,18.4,12.5,91,70,7.69,25.18
TASMAN ISLAND,17/02/2021,3.7,0.0, ,18.2,14.6,93,66,13.83,24.96
TASMAN ISLAND,18/02/2021,3.9,0.0, ,18.8,15.2,94,65,14.72,24.72
TASMAN ISLAND,19/02/2021,6.0,0.0, ,24.3,15.7,93,44,12.65,24.31
TASMAN ISLAND,20/02/2021,2.5,0.0, ,18.3,14.8,98,45,3.40,8.85
TASMAN ISLAND,21/02/2021,1.8,0.0, ,17.9,14.0,100,75,2.61,8.60
TASMAN ISLAND,22/02/2021,3.6,0.0, ,17.3,13.2,84,47,4.55,17.86
TASMAN ISLAND,23/02/2021,3.3,0.0, ,14.4,9.5,77,57,4.60,20.11
TASMAN ISLAND,24/02/2021,3.8,0.0, ,17.8,9.9,72,45,3.44,20.93
TASMAN ISLAND,25/02/2021,2.3,0.0, ,15.1,11.3,93,55,5.73,6.29
TASMAN ISLAND,26/02/2021, ,13.4, , ,9.2,100,75,7.41,12.48
TASMAN ISLAND,27/02/2021,2.3, , ,16.1,11.4,92,70,3.06,13.77
TASMAN ISLAND,28/02/2021,2.8,0.0, ,17.3,11.5,91,70,1.62,18.83
Totals:,,82.6,72.2, ,,,,,, 
