'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for March 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 April 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/03/2021,1.1,2.2, ,15.3,13.6,99,81,5.40,3.36
TASMAN ISLAND,02/03/2021,1.9,19.2, ,11.7,8.2,100,66,11.87,10.26
TASMAN ISLAND,03/03/2021,2.2,7.2, ,15.5,8.1,85,67,3.18,11.74
TASMAN ISLAND,04/03/2021,2.9,0.0, ,14.5,10.3,92,60,9.97,17.39
TASMAN ISLAND,05/03/2021,2.4,2.6, ,11.6,8.1,94,55,14.07,5.74
TASMAN ISLAND,06/03/2021,2.4,0.0, ,13.8,9.2,88,63,7.70,10.29
TASMAN ISLAND,07/03/2021,2.4,0.0, ,16.1,10.5,90,69,2.14,15.82
TASMAN ISLAND,08/03/2021,2.1,0.0, ,17.2,12.1,97,67,1.73,12.45
TASMAN ISLAND,09/03/2021,2.3,0.2, ,15.8,11.7,95,65,5.34,12.42
TASMAN ISLAND,10/03/2021,3.0,0.0, ,17.5,10.9,87,54,4.12,16.33
TASMAN ISLAND,11/03/2021,2.9,0.0, ,19.6,11.7,100,64,3.13,19.04
TASMAN ISLAND,12/03/2021,2.0,0.2, ,19.4,14.0,100,84,7.84,15.00
TASMAN ISLAND,13/03/2021,2.8,0.0, ,20.2,16.3,96,56,9.98,3.40
TASMAN ISLAND,14/03/2021,3.6,1.2, ,15.5,8.4,71,46,5.73,18.25
TASMAN ISLAND,15/03/2021,2.7,0.2, ,14.0,9.7,90,60,9.22,15.44
TASMAN ISLAND,16/03/2021,2.5,0.0, ,16.4,11.2,79,60,2.74,14.52
TASMAN ISLAND,17/03/2021,3.1,0.0, ,16.1,11.7,85,64,9.53,18.19
TASMAN ISLAND,18/03/2021,3.0,0.0, ,17.9,13.6,90,66,9.50,17.11
TASMAN ISLAND,19/03/2021,3.0,0.0, ,18.6,13.9,91,63,6.54,16.93
TASMAN ISLAND,20/03/2021,2.8,0.0, ,18.0,14.9,92,59,5.39,13.53
TASMAN ISLAND,21/03/2021,2.5,0.0, ,17.9,13.9,95,63,6.96,10.87
TASMAN ISLAND,22/03/2021,2.3,0.0, ,18.3,14.5,93,73,10.57,9.77
TASMAN ISLAND,23/03/2021,1.6,1.0, ,18.4,14.3,100,80,7.71,7.32
TASMAN ISLAND,24/03/2021,0.8,4.8, ,16.6,14.5,100,90,6.60,2.23
TASMAN ISLAND,25/03/2021,1.3,60.8, ,14.7,13.4,100,72,5.83,2.74
TASMAN ISLAND,26/03/2021,3.1,9.4, ,19.2,12.2,84,53,5.02,14.97
TASMAN ISLAND,27/03/2021,2.1,4.0, ,16.4,11.0,93,63,5.10,9.32
TASMAN ISLAND,28/03/2021,2.5,1.0, ,17.1,10.4,91,55,4.82,11.99
TASMAN ISLAND,29/03/2021,1.8,9.4, ,12.8,9.6,99,60,7.89,5.22
TASMAN ISLAND,30/03/2021,2.0,0.0, ,18.1,10.7,99,59,2.68,10.50
TASMAN ISLAND,31/03/2021,2.3,0.0, ,21.9,11.7,97,61,3.28,11.14
Totals:,,73.4,123.4, ,,,,,, 
