'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for April 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 May 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/04/2021,3.6,0.0, ,22.1,14.3,97,34,6.32,6.57
TASMAN ISLAND,02/04/2021,2.6,1.0, ,23.4,10.8,100,64,6.04,11.03
TASMAN ISLAND,03/04/2021,7.1,0.0, ,28.2,12.1,90,21,9.49,14.75
TASMAN ISLAND,04/04/2021,2.7,0.0, ,16.8,12.5,71,47,3.02,14.53
TASMAN ISLAND,05/04/2021,2.1,0.0, ,17.9,12.1,95,53,2.26,13.48
TASMAN ISLAND,06/04/2021,1.6,0.0, ,16.2,11.8,98,73,2.32,11.96
TASMAN ISLAND,07/04/2021,2.0,0.0, ,18.8,13.1,99,66,3.19,13.50
TASMAN ISLAND,08/04/2021,2.5,0.0, ,20.6,14.4,98,39,4.54,2.55
TASMAN ISLAND,09/04/2021,1.7,6.8, ,12.1,8.9,98,58,5.25,8.10
TASMAN ISLAND,10/04/2021,2.0,1.4, ,12.3,7.9,82,59,5.56,7.36
TASMAN ISLAND,11/04/2021,1.4,20.0, ,9.9,5.0,96,69,9.68,4.07
TASMAN ISLAND,12/04/2021,1.9,8.2, ,12.8,5.7,92,59,7.58,4.07
TASMAN ISLAND,13/04/2021,2.0,0.0, ,14.4,9.3,94,64,8.08,9.11
TASMAN ISLAND,14/04/2021,2.9,3.2, ,16.8,10.9,90,51,8.73,10.97
TASMAN ISLAND,15/04/2021,2.1,0.0, ,13.0,10.5,87,54,6.02,7.83
TASMAN ISLAND,16/04/2021,1.7,6.4, ,12.5,5.9,89,60,3.93,10.74
TASMAN ISLAND,17/04/2021,1.8,0.0, ,15.1,8.2,90,62,4.56,10.05
TASMAN ISLAND,18/04/2021,1.7,0.0, ,15.0,10.6,81,64,4.08,5.78
TASMAN ISLAND,19/04/2021,3.4,0.0, ,17.3,10.5,73,48,8.43,9.12
TASMAN ISLAND,20/04/2021,1.4,5.6, ,8.4,7.6,96,59,7.30,3.29
TASMAN ISLAND,21/04/2021,2.0,5.8, ,11.5,5.7,82,52,5.82,10.34
TASMAN ISLAND,22/04/2021,2.0,0.0, ,13.3,7.6,86,57,6.84,6.87
TASMAN ISLAND,23/04/2021,1.6,2.0, ,12.1,7.8,80,59,3.44,7.16
TASMAN ISLAND,24/04/2021,1.6,0.0, ,13.6,9.8,84,65,4.58,6.24
TASMAN ISLAND,25/04/2021,1.6,0.0, ,13.5,9.0,81,63,3.53,8.14
TASMAN ISLAND,26/04/2021,1.6,0.0, ,14.6,10.1,92,64,4.17,8.72
TASMAN ISLAND,27/04/2021,1.4,0.0, ,15.0,9.8,82,61,2.18,10.50
TASMAN ISLAND,28/04/2021,1.5,0.0, ,15.7,10.5,83,61,2.57,9.42
TASMAN ISLAND,29/04/2021,1.3,0.0, ,16.6,11.4,99,67,2.97,7.64
TASMAN ISLAND,30/04/2021,1.3,1.2, ,17.6,10.9,97,73,3.33,8.98
Totals:,,64.1,61.6, ,,,,,, 
