'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for May 2021,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 June 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/05/2021,3.3,0.0, ,21.2,12.5,76,38,5.47,9.90
TASMAN ISLAND,02/05/2021,3.2,0.0, ,21.6,14.7,74,41,5.28,7.36
TASMAN ISLAND,03/05/2021,1.6,0.2, ,13.0,13.0,100,48,4.77,1.91
TASMAN ISLAND,04/05/2021,1.5,9.0, ,13.4,7.3,89,56,3.52,8.92
TASMAN ISLAND,05/05/2021,1.1,0.0, ,16.0,8.4,97,63,2.01,6.87
TASMAN ISLAND,06/05/2021,1.5,0.0, ,14.3,11.5,100,67,7.85,8.40
TASMAN ISLAND,07/05/2021,1.1,2.2, ,16.7,12.4,100,83,12.19,6.28
TASMAN ISLAND,08/05/2021,1.6,0.0, ,16.9,13.8,95,61,4.39,5.99
TASMAN ISLAND,09/05/2021,2.4,0.8, ,14.4,7.6,75,55,7.87,4.51
TASMAN ISLAND,10/05/2021,2.3,0.0, ,14.4,9.7,99,49,10.40,3.20
TASMAN ISLAND,11/05/2021,1.5,4.2, ,10.4,5.2,89,49,4.42,7.61
TASMAN ISLAND,12/05/2021,1.7,0.0, ,14.0,7.0,99,58,7.78,5.74
TASMAN ISLAND,13/05/2021,1.5,0.2, ,14.0,10.3,100,63,7.74,1.17
TASMAN ISLAND,14/05/2021, ,1.8, , ,5.7,95,67,5.30,3.88
TASMAN ISLAND,15/05/2021, , , , , ,95,66,4.45,7.01
TASMAN ISLAND,16/05/2021,1.6, , ,11.9,5.4,94,61,7.81,4.32
TASMAN ISLAND,17/05/2021, ,17.2, , ,4.8,87,70,4.98,4.26
TASMAN ISLAND,18/05/2021, , , , , ,78,62,3.96,8.04
TASMAN ISLAND,19/05/2021, , , , , ,79,63,7.44,2.50
TASMAN ISLAND,20/05/2021, , , , , ,95,50,6.81,7.00
TASMAN ISLAND,21/05/2021, , , , , ,70,53,5.60,7.32
TASMAN ISLAND,22/05/2021, , , , , ,74,45,6.55,7.72
TASMAN ISLAND,23/05/2021, , , , , ,99,81,5.07,6.59
TASMAN ISLAND,24/05/2021, , , , , ,99,63,11.00,4.96
TASMAN ISLAND,25/05/2021, , , , , ,98,68,11.10,2.95
TASMAN ISLAND,26/05/2021, , , , , ,91,60,6.35,3.71
TASMAN ISLAND,27/05/2021, , , , , ,92,65,8.33,4.28
TASMAN ISLAND,28/05/2021, , , , , ,96,64,11.02,4.69
TASMAN ISLAND,29/05/2021,1.4, , ,9.3,5.2,82,65,6.14,3.52
TASMAN ISLAND,30/05/2021,0.8,0.0, ,10.8,7.1,84,64,2.20,4.16
TASMAN ISLAND,31/05/2021,0.9,0.0, ,12.1,6.3,86,55,2.36,7.08
Totals:,,29,35.6, ,,,,,, 
