'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for June 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 July 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/06/2021, ,0.0, , ,7.2,69,47,4.87,4.72
TASMAN ISLAND,02/06/2021, , , , , ,69,44,3.97,5.68
TASMAN ISLAND,03/06/2021, , , , , ,73,59,4.95,4.09
TASMAN ISLAND,04/06/2021, , , , , ,95,63,5.66,4.59
TASMAN ISLAND,05/06/2021, , , , , ,92,64,7.49,2.25
TASMAN ISLAND,06/06/2021, , , , , ,88,61,6.61,4.44
TASMAN ISLAND,07/06/2021, , , , , ,90,61,9.73,4.11
TASMAN ISLAND,08/06/2021, , , , , ,98,58,5.48,5.49
TASMAN ISLAND,09/06/2021, , , , , ,100,82,7.51,1.75
TASMAN ISLAND,10/06/2021, , , , , ,100,82,5.33,2.46
TASMAN ISLAND,11/06/2021, , , ,12.2, ,100,100,5.39,2.60
TASMAN ISLAND,12/06/2021, ,6.4, , ,11.4,100,100,6.21,2.47
TASMAN ISLAND,13/06/2021, , , , ,10.4,100,100,5.72,1.51
TASMAN ISLAND,14/06/2021,0.2, , ,10.6,8.9,100,100,2.35,5.01
TASMAN ISLAND,15/06/2021, ,1.0, , ,8.9,100,94,3.03,3.60
TASMAN ISLAND,16/06/2021, , , , , ,100,87,4.91,3.02
TASMAN ISLAND,17/06/2021, , , , , ,100,91,4.01,1.19
TASMAN ISLAND,18/06/2021, , , , , ,100,77,3.46,5.39
TASMAN ISLAND,19/06/2021, , , ,10.2, ,99,79,4.65,3.82
TASMAN ISLAND,20/06/2021,0.5,0.2, ,10.1,7.2,94,71,1.95,4.75
TASMAN ISLAND,21/06/2021,0.5,0.2, ,11.0,5.5,92,59,1.71,6.26
TASMAN ISLAND,22/06/2021,1.0,0.0, ,12.1,7.2,81,58,2.98,5.61
TASMAN ISLAND,23/06/2021,1.5,0.0, ,12.0,8.2,84,60,5.65,3.85
TASMAN ISLAND,24/06/2021, ,0.0, , ,9.6,100,61,3.56,5.73
TASMAN ISLAND,25/06/2021, ,0.0, , , ,100,88,0.86,5.52
TASMAN ISLAND,26/06/2021,0.8,0.4, ,10.4,7.2,100,63,4.25,5.75
TASMAN ISLAND,27/06/2021,0.8,2.0, ,10.7,7.1,99,69,4.65,4.25
TASMAN ISLAND,28/06/2021,0.5,0.4, ,11.4,7.1,92,67,1.82,6.85
TASMAN ISLAND,29/06/2021,0.9,0.0, ,10.7,6.7,93,68,5.15,6.87
TASMAN ISLAND,30/06/2021,1.7,0.0, ,12.6,7.3,83,66,9.23,6.17
Totals:,,8.4,10.6, ,,,,,, 
