'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for July 2021,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 August 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/07/2021,1.8,0.0, ,14.7,10.3,81,62,7.33,6.78
TASMAN ISLAND,02/07/2021,1.3,0.0, ,12.2,10.1,92,68,7.83,4.15
TASMAN ISLAND,03/07/2021,0.8,7.4, ,12.8,9.0,97,69,4.14,6.61
TASMAN ISLAND,04/07/2021,0.8,2.6, ,9.4,5.9,99,76,7.19,2.12
TASMAN ISLAND,05/07/2021,0.9,16.4, ,9.4,5.9,95,65,4.58,6.06
TASMAN ISLAND,06/07/2021,1.0,7.8, ,7.3,6.2,99,59,6.26,5.27
TASMAN ISLAND,07/07/2021,0.8,0.0, ,7.3,4.8,87,64,2.52,3.38
TASMAN ISLAND,08/07/2021,0.5,0.0, ,9.7,5.2,82,62,1.38,6.55
TASMAN ISLAND,09/07/2021,0.4,0.2, ,8.3,5.1,94,67,1.09,5.59
TASMAN ISLAND,10/07/2021,0.5,0.8, ,10.4,4.9,95,59,1.40,7.36
TASMAN ISLAND,11/07/2021,0.8,0.0, ,12.2,6.5,84,63,2.37,7.42
TASMAN ISLAND,12/07/2021,1.7,0.0, ,11.3,8.1,82,63,8.62,5.50
TASMAN ISLAND,13/07/2021,1.3,0.0, ,12.8,9.6,97,60,6.33,7.19
TASMAN ISLAND,14/07/2021,0.4,0.0, ,10.2,7.8,100,95,2.90,3.05
TASMAN ISLAND,15/07/2021,0.9,1.8, ,11.2,8.8,98,78,8.24,4.45
TASMAN ISLAND,16/07/2021,1.1,0.4, ,12.5,9.0,86,72,5.05,5.62
TASMAN ISLAND,17/07/2021,0.8,0.0, ,11.2,8.1,96,70,3.28,6.44
TASMAN ISLAND,18/07/2021,0.8,7.0, ,10.7,7.1,99,69,3.97,7.10
TASMAN ISLAND,19/07/2021,1.4,0.8, ,12.0,6.8,81,63,5.54,6.94
TASMAN ISLAND,20/07/2021, ,0.4, , ,7.0,96,60,10.18,4.42
TASMAN ISLAND,21/07/2021, , , , , ,87,65,3.44,7.79
TASMAN ISLAND,22/07/2021, , , ,12.6, ,79,58,5.92,8.12
TASMAN ISLAND,23/07/2021,2.1,0.0, ,12.4,7.9,74,56,7.42,7.88
TASMAN ISLAND,24/07/2021,1.5,0.0, ,11.2,7.1,92,64,8.94,6.62
TASMAN ISLAND,25/07/2021,1.7,1.4, ,7.2,5.7,81,56,9.14,7.66
TASMAN ISLAND,26/07/2021, ,0.8, , ,4.0,81,61,6.48,7.41
TASMAN ISLAND,27/07/2021,1.8, , ,13.7,6.9,93,57,7.33,7.16
TASMAN ISLAND,28/07/2021,2.7,0.0, ,14.0,9.8,74,54,10.53,7.36
TASMAN ISLAND,29/07/2021,1.2,1.4, ,10.3,4.8,90,60,4.74,7.50
TASMAN ISLAND,30/07/2021,2.2,0.4, ,12.6,4.9,79,58,9.54,6.36
TASMAN ISLAND,31/07/2021,2.3,0.0, ,13.5,9.7,85,57,10.87,5.17
Totals:,,33.5,49.6, ,,,,,, 
