'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for August 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 September 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/08/2021,1.2,1.8, ,9.7,6.9,89,65,4.55,6.60
TASMAN ISLAND,02/08/2021,1.9,1.4, ,11.9,5.0,79,52,6.01,9.01
TASMAN ISLAND,03/08/2021, ,0.0, , ,8.0,96,57,3.89,7.95
TASMAN ISLAND,04/08/2021, , , , , ,99,63,7.30,5.80
TASMAN ISLAND,05/08/2021, , , ,11.1, ,99,69,4.47,7.14
TASMAN ISLAND,06/08/2021,1.3,0.0, ,11.8,8.1,88,65,4.56,7.56
TASMAN ISLAND,07/08/2021,1.5,0.2, ,9.4,8.6,97,57,7.43,4.13
TASMAN ISLAND,08/08/2021,1.4,5.2, ,11.3,4.6,90,48,3.01,9.83
TASMAN ISLAND,09/08/2021,1.6,0.0, ,13.4,6.1,86,57,4.37,7.63
TASMAN ISLAND,10/08/2021,2.5,0.0, ,13.9,8.4,76,53,8.17,3.07
TASMAN ISLAND,11/08/2021,2.2,0.2, ,14.1,10.9,93,55,9.13,6.79
TASMAN ISLAND,12/08/2021,1.8,1.8, ,11.5,6.1,88,55,6.71,9.56
TASMAN ISLAND,13/08/2021,2.1,0.0, ,13.2,8.1,95,54,9.33,4.99
TASMAN ISLAND,14/08/2021,2.2,1.4, ,14.4,5.9,74,57,5.82,9.20
TASMAN ISLAND,15/08/2021,2.7,0.0, ,14.6,8.8,91,47,10.23,7.42
TASMAN ISLAND,16/08/2021,1.2,14.2, ,7.7,3.1,93,66,7.75,4.73
TASMAN ISLAND,17/08/2021,1.8,5.8, ,9.2,3.6,91,59,11.03,5.76
TASMAN ISLAND,18/08/2021,1.7,0.0, ,12.8,7.1,83,57,3.92,8.33
TASMAN ISLAND,19/08/2021,1.3,0.0, ,12.5,8.5,92,70,3.16,9.76
TASMAN ISLAND,20/08/2021,2.0,0.0, ,12.0,8.5,89,63,11.07,7.38
TASMAN ISLAND,21/08/2021,2.6,0.0, ,13.5,9.0,73,53,7.36,10.69
TASMAN ISLAND,22/08/2021,2.5,0.0, ,15.8,9.4,85,58,9.22,7.81
TASMAN ISLAND,23/08/2021,1.6,1.2, ,8.2,7.1,95,54,8.22,5.82
TASMAN ISLAND,24/08/2021,1.5,7.6, ,10.0,4.2,92,60,4.27,12.20
TASMAN ISLAND,25/08/2021,1.9,0.0, ,9.6,6.2,81,56,6.39,7.11
TASMAN ISLAND,26/08/2021,1.3,0.0, ,9.6,6.0,97,63,4.64,6.67
TASMAN ISLAND,27/08/2021,1.0,1.6, ,8.8,6.6,96,67,2.39,4.58
TASMAN ISLAND,28/08/2021,1.1,0.2, ,10.8,6.5,97,72,2.70,8.36
TASMAN ISLAND,29/08/2021,1.2,2.2, ,9.8,6.8,99,75,8.94,8.98
TASMAN ISLAND,30/08/2021,1.8,0.0, ,13.3,7.6,98,64,7.35,11.91
TASMAN ISLAND,31/08/2021, ,0.0, , ,9.1,91,58,10.74,7.31
Totals:,,46.9,44.8, ,,,,,, 
