'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for September 2021,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 October 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/09/2021,3.0, , ,14.4,7.8,76,50,8.60,13.44
TASMAN ISLAND,02/09/2021,5.1,0.0, ,20.9,10.5,81,37,13.21,13.39
TASMAN ISLAND,03/09/2021,2.0,1.8, ,10.8,10.6,100,37,6.79,1.93
TASMAN ISLAND,04/09/2021,1.6,18.8, ,10.9,7.5,82,65,3.00,12.01
TASMAN ISLAND,05/09/2021,1.7,0.2, ,10.7,5.5,91,62,3.63,13.96
TASMAN ISLAND,06/09/2021,2.7,3.2, ,12.2,6.6,85,51,9.41,13.19
TASMAN ISLAND,07/09/2021,2.1,0.8, ,11.4,6.3,86,60,8.19,10.75
TASMAN ISLAND,08/09/2021,3.9,0.4, ,17.8,6.7,70,45,8.84,14.34
TASMAN ISLAND,09/09/2021,3.3,0.0, ,15.7,10.8,98,28,8.58,5.75
TASMAN ISLAND,10/09/2021,1.9,13.2, ,11.2,4.6,84,56,3.69,11.46
TASMAN ISLAND,11/09/2021,1.9,0.0, ,14.1,7.2,97,66,7.99,11.12
TASMAN ISLAND,12/09/2021,1.7,3.4, ,10.0,5.5,92,65,5.21,12.61
TASMAN ISLAND,13/09/2021,1.6,7.0, ,9.8,5.1,94,65,5.14,11.85
TASMAN ISLAND,14/09/2021,1.4,0.6, ,10.3,4.6,94,73,2.42,12.03
TASMAN ISLAND,15/09/2021,1.8,0.0, ,11.5,6.7,93,57,2.35,14.14
TASMAN ISLAND,16/09/2021,1.8,0.0, ,11.2,6.2,87,73,2.20,15.98
TASMAN ISLAND,17/09/2021,2.3,0.0, ,11.7,6.1,96,55,8.68,14.16
TASMAN ISLAND,18/09/2021,2.8,1.0, ,12.7,9.2,83,53,7.40,14.88
TASMAN ISLAND,19/09/2021,2.8,0.0, ,15.1,5.9,93,53,8.44,14.57
TASMAN ISLAND,20/09/2021,2.1,0.8, ,9.2,6.0,91,58,9.43,14.69
TASMAN ISLAND,21/09/2021,2.3,5.0, ,15.2,3.9,89,61,5.90,13.04
TASMAN ISLAND,22/09/2021,3.8,0.0, ,18.9,5.2,81,38,5.27,17.74
TASMAN ISLAND,23/09/2021,2.7,0.0, ,13.6,10.3,86,53,7.37,11.06
TASMAN ISLAND,24/09/2021,2.6,0.0, ,11.6,7.3,94,49,8.29,14.06
TASMAN ISLAND,25/09/2021,1.7,12.6, ,8.4,0.8,92,63,6.46,11.86
TASMAN ISLAND,26/09/2021,2.2,3.0, ,11.5,2.7,86,56,2.98,17.53
TASMAN ISLAND,27/09/2021,2.4,0.0, ,12.6,6.0,92,50,2.28,18.96
TASMAN ISLAND,28/09/2021,1.8,0.0, ,13.7,7.2,96,60,2.29,11.02
TASMAN ISLAND,29/09/2021,2.2,0.8, ,12.5,7.4,95,64,3.43,17.24
TASMAN ISLAND,30/09/2021,1.5,0.2, ,11.2,6.8,97,67,3.28,9.02
Totals:,,70.7,72.8, ,,,,,, 
