'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for October 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 November 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/10/2021,0.7,3.0, ,12.6,9.1,100,98,4.06,5.28
TASMAN ISLAND,02/10/2021,0.7,7.4, ,12.3,10.8,100,100,5.15,5.84
TASMAN ISLAND,03/10/2021,1.0,6.8, ,11.4,10.3,100,100,5.15,10.51
TASMAN ISLAND,04/10/2021,1.5,0.2, ,13.0,9.2,100,83,5.43,11.66
TASMAN ISLAND,05/10/2021,2.1,1.2, ,13.6,7.8,100,73,2.18,17.40
TASMAN ISLAND,06/10/2021,2.9,4.4, ,15.2,7.8,100,54,4.63,20.44
TASMAN ISLAND,07/10/2021,2.4,4.2, ,11.5,6.2,96,56,7.14,15.58
TASMAN ISLAND,08/10/2021,2.7,1.6, ,15.6,6.1,94,64,6.33,18.51
TASMAN ISLAND,09/10/2021,2.5,2.6, ,16.2,9.4,95,61,5.59,12.74
TASMAN ISLAND,10/10/2021,2.6,1.6, ,10.0,6.3,81,61,5.14,19.55
TASMAN ISLAND,11/10/2021,2.4,1.8, ,10.2,5.1,89,61,5.84,17.76
TASMAN ISLAND,12/10/2021,2.7,0.6, ,12.0,5.1,79,61,4.52,19.70
TASMAN ISLAND,13/10/2021,2.1,0.0, ,11.5,8.2,94,62,7.67,10.58
TASMAN ISLAND,14/10/2021,1.2,0.0, ,11.7,8.5,100,84,7.04,8.00
TASMAN ISLAND,15/10/2021,1.0,5.4, ,14.4,10.1,100,100,5.02,9.21
TASMAN ISLAND,16/10/2021,1.3,13.8, ,10.5,7.9,100,74,13.73,4.58
TASMAN ISLAND,17/10/2021,2.6,3.4, ,14.6,7.2,100,62,4.89,17.69
TASMAN ISLAND,18/10/2021,2.1,0.0, ,12.1,8.9,98,63,5.25,13.17
TASMAN ISLAND,19/10/2021,2.9,2.2, ,11.4,6.3,84,46,4.34,18.63
TASMAN ISLAND,20/10/2021,2.9,0.0, ,12.6,6.3,96,55,7.17,20.75
TASMAN ISLAND,21/10/2021,1.8,0.0, ,14.3,8.8,100,82,14.53,16.94
TASMAN ISLAND,22/10/2021,0.5,0.2, ,12.7,11.8,100,100,14.50,6.81
TASMAN ISLAND,23/10/2021,0.5,6.6, ,9.8,7.8,100,100,6.13,4.38
TASMAN ISLAND,24/10/2021,1.8,28.6, ,9.8,7.4,100,66,9.11,11.42
TASMAN ISLAND,25/10/2021, ,7.2, , ,6.5,95,76,3.52,5.55
TASMAN ISLAND,26/10/2021,2.5, , ,13.2,7.2,88,64,0.00,19.37
TASMAN ISLAND,27/10/2021,3.4,0.2, ,17.6,6.7,98,57,0.00,25.26
TASMAN ISLAND,28/10/2021,2.3,0.0, ,14.3,10.4,100,35,0.00,15.66
TASMAN ISLAND,29/10/2021,0.6,37.8, ,7.5,6.4,100,67,0.00,1.74
TASMAN ISLAND,30/10/2021,2.4,29.0, ,12.1,3.7,92,56,0.00,19.43
TASMAN ISLAND,31/10/2021,2.0,0.2, ,14.4,5.4,73,55,0.00,13.80
Totals:,,58.1,170, ,,,,,, 
