'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for November 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 December 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/11/2021,2.3,0.0, ,14.8,10.1,99,63,0.00,15.49
TASMAN ISLAND,02/11/2021,3.1,0.0, ,14.4,9.2,100,75,0.00,22.45
TASMAN ISLAND,03/11/2021,1.7,0.0, ,15.8,12.4,100,97,0.00,9.36
TASMAN ISLAND,04/11/2021,3.7,5.8, ,14.6,9.7,100,75,0.00,26.43
TASMAN ISLAND,05/11/2021,3.3,0.0, ,14.3,9.3,100,76,0.00,24.00
TASMAN ISLAND,06/11/2021,2.5,0.4, ,16.0,11.7,100,84,0.00,15.67
TASMAN ISLAND,07/11/2021,2.9,16.2, ,13.7,8.5,100,58,0.00,21.23
TASMAN ISLAND,08/11/2021,3.4,0.0, ,15.4,8.6,90,48,0.00,24.91
TASMAN ISLAND,09/11/2021, ,0.4, , ,9.9,100,66,0.00,18.13
TASMAN ISLAND,10/11/2021,1.2, , ,13.1,9.6,100,88,0.00,6.15
TASMAN ISLAND,11/11/2021,1.9,27.6, ,12.3,8.1,100,75,0.00,12.48
TASMAN ISLAND,12/11/2021,1.7,1.2, ,11.9,7.7,100,64,0.00,11.11
TASMAN ISLAND,13/11/2021,3.0,2.2, ,12.7,6.3,87,56,0.00,23.40
TASMAN ISLAND,14/11/2021,2.4,0.0, ,14.1,6.1,89,56,0.00,17.27
TASMAN ISLAND,15/11/2021,1.7,6.2, ,8.0,1.6,94,52,0.00,13.58
TASMAN ISLAND,16/11/2021,2.3,4.2, ,11.7,2.6,88,60,0.00,17.59
TASMAN ISLAND,17/11/2021,2.9,0.0, ,14.8,6.3,90,63,0.00,21.22
TASMAN ISLAND,18/11/2021,1.1,0.0, ,13.4,9.3,100,77,0.00,4.95
TASMAN ISLAND,19/11/2021,3.1,13.2, ,12.4,8.3,100,63,0.00,22.91
TASMAN ISLAND,20/11/2021,2.5,2.8, ,13.8,7.0,100,71,0.00,16.93
TASMAN ISLAND,21/11/2021,3.3,0.0, ,15.0,7.6,90,59,0.00,24.06
TASMAN ISLAND,22/11/2021,3.8,0.0, ,14.8,9.9,99,66,0.00,26.29
TASMAN ISLAND,23/11/2021,3.7,0.0, ,19.6,11.0,98,69,0.00,23.18
TASMAN ISLAND,24/11/2021,3.0,0.0, ,20.1,12.9,100,59,0.00,17.77
TASMAN ISLAND,25/11/2021,2.5,0.0, ,15.5,10.3,100,58,0.00,15.87
TASMAN ISLAND,26/11/2021,3.3,0.8, ,13.7,7.5,81,52,0.00,24.35
TASMAN ISLAND,27/11/2021,4.1,0.2, ,15.1,7.8,76,53,0.00,30.59
TASMAN ISLAND,28/11/2021,4.3,0.0, ,16.6,8.9,86,61,0.00,30.68
TASMAN ISLAND,29/11/2021,4.5,0.0, ,16.4,10.7,94,67,0.00,30.71
TASMAN ISLAND,30/11/2021,4.5,0.0, ,16.0,11.3,99,77,0.00,30.54
Totals:,,83.7,81.2, ,,,,,, 
