'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for December 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 January 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/12/2021,4.0,0.0, ,20.7,13.1,99,62,0.00,24.23
TASMAN ISLAND,02/12/2021,2.9,0.6, ,19.3,12.6,100,85,0.00,16.83
TASMAN ISLAND,03/12/2021,3.9,11.8, ,15.6,9.8,98,56,0.00,26.68
TASMAN ISLAND,04/12/2021,3.1,5.6, ,10.9,7.3,97,52,0.00,23.15
TASMAN ISLAND,05/12/2021,4.0,0.6, ,13.4,4.9,83,53,0.00,31.18
TASMAN ISLAND,06/12/2021,4.1,0.0, ,15.9,10.4,93,64,0.00,28.07
TASMAN ISLAND,07/12/2021,2.1,8.8, ,12.2,8.8,100,66,0.00,13.34
TASMAN ISLAND,08/12/2021,3.6,2.0, ,14.2,7.8,85,53,0.00,26.08
TASMAN ISLAND,09/12/2021, ,0.0, , ,8.7,83,59,2.34,25.31
TASMAN ISLAND,10/12/2021,2.7, , ,14.5,9.9,91,66,5.33,15.67
TASMAN ISLAND,11/12/2021,3.0,0.6, ,14.0,8.7,95,55,3.67,18.56
TASMAN ISLAND,12/12/2021,3.6,0.0, ,14.6,8.8,76,58,4.30,22.57
TASMAN ISLAND,13/12/2021,3.9,0.0, ,15.8,10.6,88,64,11.39,27.87
TASMAN ISLAND,14/12/2021,3.9,0.0, ,17.1,12.1,93,69,3.01,26.06
TASMAN ISLAND,15/12/2021,3.4,0.0, ,16.9,12.7,100,65,5.97,22.24
TASMAN ISLAND,16/12/2021,3.9,0.6, ,15.1,9.7,98,61,5.97,30.59
TASMAN ISLAND,17/12/2021,4.7,0.0, ,19.6,10.6,93,55,5.10,29.18
TASMAN ISLAND,18/12/2021,6.2,0.2, ,24.2,13.6,89,42,9.47,25.39
TASMAN ISLAND,19/12/2021,3.9,0.0, ,18.6,11.5,94,48,6.97,17.82
TASMAN ISLAND,20/12/2021,4.1,4.4, ,17.7,8.9,77,50,6.94,18.18
TASMAN ISLAND,21/12/2021,4.4,0.0, ,17.6,12.6,67,47,4.50,20.93
TASMAN ISLAND,22/12/2021,3.4,0.2, ,14.4,9.4,82,56,4.92,19.68
TASMAN ISLAND,23/12/2021,4.4,0.4, ,17.5,8.9,84,54,4.46,28.59
TASMAN ISLAND,24/12/2021,4.2,0.0, ,18.6,11.4,98,56,4.63,26.44
TASMAN ISLAND,25/12/2021,4.5,0.2, ,17.1,10.8,98,53,4.68,31.12
TASMAN ISLAND,26/12/2021,3.0,1.2, ,12.4,8.8,89,55,8.02,16.44
TASMAN ISLAND,27/12/2021,3.4,2.6, ,13.9,6.3,90,50,7.58,20.04
TASMAN ISLAND,28/12/2021,4.1,0.0, ,16.3,10.2,95,64,5.12,30.25
TASMAN ISLAND,29/12/2021,3.4,0.0, ,15.5,10.9,97,74,5.39,27.08
TASMAN ISLAND,30/12/2021,4.0,0.0, ,19.3,11.0,98,71,3.02,27.22
TASMAN ISLAND,31/12/2021,4.8,0.0, ,19.9,10.8,100,52,2.87,31.25
Totals:,,114.6,39.8, ,,,,,, 
