'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for January 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 February 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/01/2022,3.2,0.2, ,17.8,12.4,100,68,3.74,19.94
TASMAN ISLAND,02/01/2022,1.9,0.0, ,16.2,12.5,100,81,3.25,10.73
TASMAN ISLAND,03/01/2022,3.3,0.6, ,17.6,11.7,88,59,3.30,18.09
TASMAN ISLAND,04/01/2022,1.8,0.0, ,16.1,11.5,85,68,1.74,6.97
TASMAN ISLAND,05/01/2022,2.6,0.4, ,16.4,11.8,95,70,2.45,15.56
TASMAN ISLAND,06/01/2022,1.3,0.0, ,16.2,12.2,100,76,4.35,3.55
TASMAN ISLAND,07/01/2022,1.1,27.2, ,19.0,13.4,100,100,8.90,9.81
TASMAN ISLAND,08/01/2022,1.7,52.8, ,13.9,12.2,100,72,7.16,6.81
TASMAN ISLAND,09/01/2022,3.1,0.0, ,15.1,8.9,100,72,6.26,25.46
TASMAN ISLAND,10/01/2022,1.8,0.0, ,15.4,11.2,100,71,3.20,9.05
TASMAN ISLAND,11/01/2022,4.1,0.0, ,18.1,11.1,90,69,2.31,27.94
TASMAN ISLAND,12/01/2022,2.5,0.0, ,16.3,11.3,92,65,2.40,13.80
TASMAN ISLAND,13/01/2022,1.8,1.4, ,16.1,11.5,100,84,5.54,12.08
TASMAN ISLAND,14/01/2022,1.3,0.4, ,18.6,12.7,100,91,8.41,7.81
TASMAN ISLAND,15/01/2022,4.2,2.4, ,23.2,14.1,100,70,6.00,25.21
TASMAN ISLAND,16/01/2022,2.6,0.0, ,19.4,13.7,100,76,5.98,14.97
TASMAN ISLAND,17/01/2022,4.3,1.0, ,20.7,13.9,100,62,7.41,27.26
TASMAN ISLAND,18/01/2022,3.1,0.0, ,15.6,12.0,93,65,7.50,18.56
TASMAN ISLAND,19/01/2022,4.0,0.0, ,17.8,10.8,91,56,4.72,24.92
TASMAN ISLAND,20/01/2022,3.9,0.0, ,18.0,10.0,91,64,3.48,26.35
TASMAN ISLAND,21/01/2022,5.3,0.0, ,21.9,12.6,99,42,4.34,29.98
TASMAN ISLAND,22/01/2022,4.2,0.2, ,20.4,13.3,100,68,5.82,28.86
TASMAN ISLAND,23/01/2022,3.7,0.2, ,19.3,15.4,100,76,9.62,28.97
TASMAN ISLAND,24/01/2022,3.2,0.2, ,19.4,15.1,100,80,2.79,20.84
TASMAN ISLAND,25/01/2022,1.5,0.2, ,16.9,14.3,98,78,2.66,6.15
TASMAN ISLAND,26/01/2022,2.9,0.0, ,17.4,12.7,89,66,5.05,14.12
TASMAN ISLAND,27/01/2022,1.6,0.0, ,20.7,14.2,100,88,15.98,10.42
TASMAN ISLAND,28/01/2022,4.2,0.2, ,27.3,16.9,100,61,6.62,16.81
TASMAN ISLAND,29/01/2022,1.8,3.4, ,18.0,13.4,100,81,4.52,9.69
TASMAN ISLAND,30/01/2022,3.4,0.4, ,18.1,13.1,92,73,3.88,21.84
TASMAN ISLAND,31/01/2022,2.9,0.0, ,20.1,13.7,100,90,6.26,23.91
Totals:,,88.3,91.2, ,,,,,, 
