'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for February 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 March 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/02/2022,4.4,0.2, ,23.6,14.7,100,63,10.55,23.75
TASMAN ISLAND,02/02/2022,3.6,3.2, ,15.6,8.7,88,55,6.22,21.72
TASMAN ISLAND,03/02/2022,2.6,4.4, ,14.8,8.1,94,65,5.15,15.27
TASMAN ISLAND,04/02/2022,3.3,0.8, ,16.7,10.0,97,63,3.77,22.13
TASMAN ISLAND,05/02/2022,2.5,0.0, ,16.9,12.2,93,68,1.57,15.01
TASMAN ISLAND,06/02/2022,4.2,0.0, ,18.4,11.5,77,53,3.33,25.77
TASMAN ISLAND,07/02/2022,4.1,0.0, ,18.4,13.3,82,63,4.75,25.16
TASMAN ISLAND,08/02/2022,2.5,0.0, ,16.7,13.7,90,72,4.35,13.66
TASMAN ISLAND,09/02/2022,3.7,0.0, ,20.3,14.1,91,61,4.79,20.18
TASMAN ISLAND,10/02/2022,3.2,0.0, ,18.6,14.6,97,58,5.47,16.24
TASMAN ISLAND,11/02/2022,3.1,0.0, ,16.0,12.3,91,56,6.29,15.45
TASMAN ISLAND,12/02/2022,3.8,0.2, ,16.9,11.4,82,53,5.64,20.08
TASMAN ISLAND,13/02/2022,4.5,0.0, ,21.7,13.1,94,53,13.65,16.25
TASMAN ISLAND,14/02/2022,1.3,0.0, ,16.7,14.5,99,81,2.84,4.74
TASMAN ISLAND,15/02/2022,3.3,2.8, ,18.8,13.1,100,62,2.33,20.57
TASMAN ISLAND,16/02/2022,3.1,0.0, ,19.7,13.2,95,69,7.60,17.46
TASMAN ISLAND,17/02/2022,4.3,1.4, ,18.5,13.0,92,46,6.06,23.39
TASMAN ISLAND,18/02/2022,2.2,1.4, ,13.9,11.2,95,56,7.25,6.28
TASMAN ISLAND,19/02/2022,4.2,4.4, ,20.2,9.8,87,51,4.50,24.01
TASMAN ISLAND,20/02/2022,3.2,0.0, ,18.8,13.5,95,49,3.72,15.50
TASMAN ISLAND,21/02/2022,3.0,0.0, ,14.4,10.3,78,54,4.93,14.82
TASMAN ISLAND,22/02/2022,3.7,0.4, ,17.0,8.9,85,54,6.66,21.92
TASMAN ISLAND,23/02/2022,2.3,2.6, ,19.6,11.9,100,81,11.75,16.60
TASMAN ISLAND,24/02/2022,2.9,0.0, ,19.0,14.2,100,65,4.61,17.09
TASMAN ISLAND,25/02/2022,2.3,0.6, ,16.5,11.2,99,58,3.48,11.49
TASMAN ISLAND,26/02/2022,1.9,0.0, ,16.3,11.9,91,70,2.81,9.46
TASMAN ISLAND,27/02/2022,1.3,0.8, ,16.9,13.0,100,78,3.94,4.64
TASMAN ISLAND,28/02/2022,0.9,2.6, ,16.9,14.5,100,100,5.06,6.38
Totals:,,85.4,25.8, ,,,,,, 
