'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for March 2022,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 April 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/03/2022,1.0,2.6, ,17.1,14.5,100,85,4.84,3.20
TASMAN ISLAND,02/03/2022,1.5,0.8, ,18.7,14.2,100,84,6.66,7.58
TASMAN ISLAND,03/03/2022,1.5,0.2, ,19.0,15.4,100,91,11.42,12.57
TASMAN ISLAND,04/03/2022,1.5,0.2, ,19.6,15.7,100,92,12.31,12.43
TASMAN ISLAND,05/03/2022,3.3,0.2, ,23.0,16.3,100,64,5.72,17.15
TASMAN ISLAND,06/03/2022,2.6,7.0, ,15.6,10.8,91,50,5.57,9.22
TASMAN ISLAND,07/03/2022,3.3,0.0, ,18.0,11.0,81,52,4.41,16.95
TASMAN ISLAND,08/03/2022,2.9,0.0, ,15.6,10.7,99,48,5.53,15.12
TASMAN ISLAND,09/03/2022,2.9,0.0, ,16.5,9.8,74,56,3.00,16.33
TASMAN ISLAND,10/03/2022,1.7,0.2, ,14.9,11.2,99,69,6.71,6.58
TASMAN ISLAND,11/03/2022,2.6,2.0, ,17.3,10.8,88,60,3.23,14.34
TASMAN ISLAND,12/03/2022,3.2,0.0, ,19.0,11.8,88,50,2.65,19.68
TASMAN ISLAND,13/03/2022,3.4,0.0, ,20.6,13.8,94,58,4.39,19.20
TASMAN ISLAND,14/03/2022,1.2,0.0, ,15.5,14.2,99,81,4.03,4.24
TASMAN ISLAND,15/03/2022,0.9,2.8, ,17.3,13.0,100,95,5.75,5.88
TASMAN ISLAND,16/03/2022,1.3,6.6, ,18.0,13.7,100,87,8.42,6.67
TASMAN ISLAND,17/03/2022,1.3,8.2, ,19.0,15.6,100,92,10.93,10.07
TASMAN ISLAND,18/03/2022,2.3,4.2, ,15.3,12.5,97,58,7.58,7.56
TASMAN ISLAND,19/03/2022,2.8,0.0, ,16.3,10.7,85,65,5.71,17.72
TASMAN ISLAND,20/03/2022,1.8,0.0, ,17.9,12.9,100,75,6.05,9.17
TASMAN ISLAND,21/03/2022,1.8,1.6, ,18.5,12.2,100,84,5.41,13.32
TASMAN ISLAND,22/03/2022,0.8,1.8, ,14.6,13.5,100,81,2.69,1.58
TASMAN ISLAND,23/03/2022,2.1,16.6, ,13.8,9.9,82,63,4.57,9.61
TASMAN ISLAND,24/03/2022,2.5,0.6, ,18.1,9.1,75,57,3.94,9.09
TASMAN ISLAND,25/03/2022,2.6,0.0, ,19.1,13.1,95,54,2.36,16.72
TASMAN ISLAND,26/03/2022,2.5,0.2, ,19.5,13.1,100,68,4.45,16.51
TASMAN ISLAND,27/03/2022,3.0,0.4, ,18.9,12.8,100,58,8.00,16.16
TASMAN ISLAND,28/03/2022,2.0,0.0, ,18.3,15.3,100,57,5.46,4.03
TASMAN ISLAND,29/03/2022,1.9,0.4, ,17.4,11.3,96,76,3.96,13.26
TASMAN ISLAND,30/03/2022,1.6,2.2, ,14.1,11.8,100,67,6.05,6.17
TASMAN ISLAND,31/03/2022,2.2,4.8, ,13.4,8.8,81,61,6.17,8.75
Totals:,,66,63.6, ,,,,,, 
