'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for April 2022,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 May 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/04/2022,1.8,0.2, ,15.6,9.4,100,62,4.85,7.97
TASMAN ISLAND,02/04/2022,1.3,0.6, ,13.7,10.7,99,75,4.75,6.63
TASMAN ISLAND,03/04/2022,1.0,0.2, ,15.2,10.4,100,77,2.16,4.59
TASMAN ISLAND,04/04/2022,1.2,9.8, ,15.2,12.7,100,83,5.26,6.80
TASMAN ISLAND,05/04/2022,1.5,1.4, ,12.4,10.3,100,67,6.94,5.84
TASMAN ISLAND,06/04/2022,2.1,0.0, ,14.2,9.0,74,56,3.97,8.72
TASMAN ISLAND,07/04/2022,1.9,0.0, ,16.6,10.5,89,63,2.55,12.80
TASMAN ISLAND,08/04/2022,2.6,0.0, ,16.8,11.1,92,56,6.54,13.68
TASMAN ISLAND,09/04/2022,2.4,0.0, ,18.0,13.1,98,68,10.62,13.39
TASMAN ISLAND,10/04/2022,2.8,0.0, ,20.4,15.6,100,55,8.36,9.21
TASMAN ISLAND,11/04/2022,1.8,8.4, ,12.4,8.1,93,55,5.71,6.50
TASMAN ISLAND,12/04/2022,2.1,1.2, ,16.8,8.2,79,59,3.51,10.22
TASMAN ISLAND,13/04/2022,2.0,0.0, ,17.8,11.5,87,57,2.42,12.39
TASMAN ISLAND,14/04/2022,1.7,0.0, ,17.6,11.5,96,57,2.96,7.23
TASMAN ISLAND,15/04/2022,2.1,1.2, ,17.4,13.2,98,54,6.32,3.19
TASMAN ISLAND,16/04/2022,1.8,0.0, ,16.6,9.1,99,65,7.14,6.82
TASMAN ISLAND,17/04/2022,2.9,0.0, ,20.0,11.8,93,56,9.75,5.95
TASMAN ISLAND,18/04/2022,1.5,1.2, ,13.5,9.9,100,62,4.86,8.53
TASMAN ISLAND,19/04/2022,1.2,0.0, ,13.6,10.4,100,68,4.04,4.35
TASMAN ISLAND,20/04/2022,1.7,3.4, ,14.7,9.8,98,52,3.74,8.80
TASMAN ISLAND,21/04/2022,2.1,9.0, ,10.7,6.6,90,48,7.82,8.21
TASMAN ISLAND,22/04/2022,1.3,0.4, ,13.6,7.5,88,64,2.39,7.89
TASMAN ISLAND,23/04/2022,1.5,0.4, ,15.3,9.2,84,64,2.69,10.76
TASMAN ISLAND,24/04/2022,1.1,0.6, ,14.4,10.7,100,81,4.19,9.85
TASMAN ISLAND,25/04/2022,0.9,0.0, ,14.8,10.6,98,83,1.23,6.32
TASMAN ISLAND,26/04/2022,1.3,0.0, ,15.8,11.1,97,71,3.17,8.39
TASMAN ISLAND,27/04/2022,1.3,0.0, ,15.5,12.5,100,73,6.24,5.32
TASMAN ISLAND,28/04/2022,0.4,15.0, ,17.5,12.9,100,100,8.91,3.87
TASMAN ISLAND,29/04/2022,1.7,4.8, ,20.0,14.6,100,70,6.35,7.78
TASMAN ISLAND,30/04/2022,1.6,8.0, ,13.8,11.8,100,58,6.02,7.08
Totals:,,50.6,65.8, ,,,,,, 
