'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for May 2022,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 June 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/05/2022,2.6,0.0, ,17.2,10.2,79,55,7.34,7.42
TASMAN ISLAND,02/05/2022,2.6,0.0, ,18.9,13.1,77,57,6.33,7.75
TASMAN ISLAND,03/05/2022,2.5,0.0, ,16.8,14.7,85,60,9.03,3.52
TASMAN ISLAND,04/05/2022,1.1,1.2, ,11.9,10.9,96,69,4.52,1.47
TASMAN ISLAND,05/05/2022,1.2,4.2, ,14.2,8.6,100,72,6.59,3.13
TASMAN ISLAND,06/05/2022,1.2,22.8, ,13.8,9.3,100,74,9.00,3.49
TASMAN ISLAND,07/05/2022,1.0,22.4, ,12.8,8.6,100,78,7.39,4.85
TASMAN ISLAND,08/05/2022,1.2,14.6, ,10.9,9.1,98,72,9.38,3.89
TASMAN ISLAND,09/05/2022,1.2,0.6, ,13.2,8.0,85,56,2.43,8.96
TASMAN ISLAND,10/05/2022,1.6,0.0, ,16.2,10.0,78,52,2.88,8.85
TASMAN ISLAND,11/05/2022,1.6,0.0, ,15.5,9.7,90,47,3.35,7.90
TASMAN ISLAND,12/05/2022,0.9,0.0, ,15.2,12.4,100,81,5.89,5.14
TASMAN ISLAND,13/05/2022,0.4,0.0, ,13.9,10.9,100,100,2.66,5.15
TASMAN ISLAND,14/05/2022,1.5,1.8, ,15.6,11.8,100,70,10.04,2.12
TASMAN ISLAND,15/05/2022,1.7,2.2, ,16.7,13.2,100,64,8.21,6.74
TASMAN ISLAND,16/05/2022,1.9,5.0, ,10.3,7.5,88,59,11.62,8.18
TASMAN ISLAND,17/05/2022,2.4,1.0, ,12.1,5.7,74,52,9.54,5.67
TASMAN ISLAND,18/05/2022,1.5,0.4, ,10.0,7.5,92,61,8.30,5.01
TASMAN ISLAND,19/05/2022,1.7,0.6, ,10.2,6.9,93,61,11.27,4.50
TASMAN ISLAND,20/05/2022,1.0,0.4, ,10.5,8.0,98,72,6.02,4.54
TASMAN ISLAND,21/05/2022,0.6,1.2, ,9.9,7.9,100,81,4.07,4.17
TASMAN ISLAND,22/05/2022,0.6,1.2, ,11.6,8.1,100,78,2.99,5.50
TASMAN ISLAND,23/05/2022,0.5,2.2, ,12.9,9.0,100,84,1.79,4.81
TASMAN ISLAND,24/05/2022,0.5,6.2, ,12.6,8.8,100,84,2.26,4.95
TASMAN ISLAND,25/05/2022,1.1,0.2, ,13.3,8.6,98,75,8.62,7.50
TASMAN ISLAND,26/05/2022,0.8,0.0, ,14.1,11.2,100,84,9.48,5.69
TASMAN ISLAND,27/05/2022,1.0,0.2, ,13.5,11.8,100,71,5.04,3.97
TASMAN ISLAND,28/05/2022,0.9,0.2, ,13.5,7.1,95,61,2.64,6.07
TASMAN ISLAND,29/05/2022,0.5,0.2, ,11.9,8.0,100,77,1.70,6.18
TASMAN ISLAND,30/05/2022,0.4,0.0, ,10.7,7.6,99,77,1.58,6.44
TASMAN ISLAND,31/05/2022,0.6,0.0, ,12.1,6.7,99,65,1.89,5.64
Totals:,,38.3,88.8, ,,,,,, 
