'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for June 2022,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/06/2022,1.3,0.2, ,10.4,7.5,99,64,9.06,3.63
TASMAN ISLAND,02/06/2022,1.1,0.0, ,10.3,5.6,96,57,4.95,6.86
TASMAN ISLAND,03/06/2022,1.9,0.2, ,12.6,6.2,74,57,7.08,5.38
TASMAN ISLAND,04/06/2022,1.0,0.0, ,11.8,8.7,88,62,3.67,6.81
TASMAN ISLAND,05/06/2022,1.5,0.0, ,12.3,7.1,99,56,7.90,5.59
TASMAN ISLAND,06/06/2022,1.3,0.2, ,9.0,7.5,99,61,10.12,2.75
TASMAN ISLAND,07/06/2022,1.1,0.0, ,7.0,3.3,97,67,9.00,1.37
TASMAN ISLAND,08/06/2022,1.2,0.0, ,8.5,2.1,97,62,8.14,4.42
TASMAN ISLAND,09/06/2022,1.2,0.0, ,9.3,5.2,96,68,10.09,3.56
TASMAN ISLAND,10/06/2022,1.3,0.2, ,7.9,4.8,93,67,13.77,2.92
TASMAN ISLAND,11/06/2022,1.2,0.0, ,8.5,2.9,96,72,14.75,3.00
TASMAN ISLAND,12/06/2022,1.2,0.0, ,7.2,1.6,96,68,14.81,2.16
TASMAN ISLAND,13/06/2022,0.7,0.0, ,9.1,3.6,93,73,5.17,5.97
TASMAN ISLAND,14/06/2022,0.9,0.2, ,11.6,6.0,82,55,2.59,6.39
TASMAN ISLAND,15/06/2022,0.9,0.0, ,10.5,7.1,90,63,2.70,3.15
TASMAN ISLAND,16/06/2022,0.4,0.0, ,10.2,8.3,100,87,2.39,3.97
TASMAN ISLAND,17/06/2022,0.6,0.0, ,12.0,8.4,100,73,2.04,3.92
TASMAN ISLAND,18/06/2022,0.3,0.2, ,13.4,8.7,100,90,2.65,5.26
TASMAN ISLAND,19/06/2022,1.0,0.0, ,12.4,9.6,100,71,6.79,5.09
TASMAN ISLAND,20/06/2022,1.1,0.0, ,11.8,10.1,95,78,13.26,5.79
TASMAN ISLAND,21/06/2022,0.9,0.0, ,12.2,10.6,96,72,5.78,5.16
TASMAN ISLAND,22/06/2022,0.8,0.0, ,11.4,7.1,92,64,3.21,6.77
TASMAN ISLAND,23/06/2022,1.4,0.2, ,14.3,7.7,100,64,7.72,3.60
TASMAN ISLAND,24/06/2022,1.2,0.0, ,10.7,8.2,99,55,6.22,6.67
TASMAN ISLAND,25/06/2022,2.1,0.0, ,12.5,7.4,73,60,9.53,5.86
TASMAN ISLAND,26/06/2022,1.0,0.0, ,8.6,6.3,90,60,4.53,4.83
TASMAN ISLAND,27/06/2022,0.8,0.0, ,10.7,3.6,94,65,3.80,6.52
TASMAN ISLAND,28/06/2022,1.8,0.0, ,12.6,5.8,75,64,7.03,2.19
TASMAN ISLAND,29/06/2022,1.2,0.2, ,12.0,9.7,99,60,6.26,4.41
TASMAN ISLAND,30/06/2022,0.9,0.0, ,8.5,6.5,100,65,6.61,4.24
Totals:,,33.3,1.6, ,,,,,, 
