'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for July 2022,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/07/2022,0.6,0.0, ,9.4,6.0,87,71,2.53,6.96
TASMAN ISLAND,02/07/2022,0.7,0.0, ,10.9,5.8,85,69,2.72,6.86
TASMAN ISLAND,03/07/2022,0.9,0.0, ,12.9,6.4,82,66,2.95,6.88
TASMAN ISLAND,04/07/2022,0.7,0.0, ,11.6,8.5,97,71,3.16,5.28
TASMAN ISLAND,05/07/2022,0.5,0.0, ,10.9,8.3,99,79,2.75,4.62
TASMAN ISLAND,06/07/2022,0.3,0.2, ,10.9,8.0,100,92,5.30,5.63
TASMAN ISLAND,07/07/2022,1.0,0.0, ,11.9,8.2,98,59,4.13,7.05
TASMAN ISLAND,08/07/2022,0.6,0.0, ,9.4,6.7,100,83,8.15,2.40
TASMAN ISLAND,09/07/2022,1.1,0.0, ,10.2,7.1,96,65,5.97,4.40
TASMAN ISLAND,10/07/2022,1.9,0.2, ,10.2,8.0,74,60,8.42,5.16
TASMAN ISLAND,11/07/2022,1.9,0.0, ,11.4,8.1,81,64,11.96,6.23
TASMAN ISLAND,12/07/2022,0.7,0.0, ,10.5,8.0,95,74,4.02,5.48
TASMAN ISLAND,13/07/2022,0.9,0.0, ,8.7,5.9,94,68,4.99,4.74
TASMAN ISLAND,14/07/2022,0.5,0.0, ,10.9,5.2,99,73,2.31,6.45
TASMAN ISLAND,15/07/2022,0.6,0.0, ,10.3,6.5,95,72,1.96,5.86
TASMAN ISLAND,16/07/2022,1.5,0.0, ,10.8,7.6,86,64,7.54,3.14
TASMAN ISLAND,17/07/2022,1.6,0.0, ,11.2,8.6,96,58,9.37,6.43
TASMAN ISLAND,18/07/2022,1.5,0.0, ,8.1,0.6,96,58,11.25,5.14
TASMAN ISLAND,19/07/2022,1.1,0.0, ,9.1,2.3,89,64,5.01,3.72
TASMAN ISLAND,20/07/2022,0.6,0.2, ,8.6,5.2,83,70,1.79,8.01
TASMAN ISLAND,21/07/2022,0.9,0.0, ,9.6,5.1,86,63,2.94,8.09
TASMAN ISLAND,22/07/2022,1.7,0.0, ,11.3,6.1,90,62,10.56,8.17
TASMAN ISLAND,23/07/2022,0.9,0.0, ,11.6,9.1,99,80,11.70,5.30
TASMAN ISLAND,24/07/2022,0.9,0.0, ,13.4,9.8,100,79,7.09,6.39
TASMAN ISLAND,25/07/2022,0.2,0.0, ,11.6,9.1,100,100,8.23,4.22
TASMAN ISLAND,26/07/2022,0.3,0.0, ,11.9,9.0,100,100,7.03,4.80
TASMAN ISLAND,27/07/2022,1.0,0.0, ,11.7,8.5,100,63,3.79,7.84
TASMAN ISLAND,28/07/2022,1.0,0.0, ,9.3,6.2,93,66,4.25,7.81
TASMAN ISLAND,29/07/2022,1.4,0.2, ,7.9,2.7,94,58,8.86,7.58
TASMAN ISLAND,30/07/2022,1.6,0.0, ,9.9,5.1,82,54,5.64,8.92
TASMAN ISLAND,31/07/2022,2.0,0.0, ,10.7,6.2,77,60,8.55,3.12
Totals:,,31.1,0.8, ,,,,,, 
