'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for August 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 September 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/08/2022,2.2,0.0, ,10.8,8.7,79,51,8.55,6.43
TASMAN ISLAND,02/08/2022,1.8,0.0, ,11.4,6.4,82,56,6.30,8.41
TASMAN ISLAND,03/08/2022,2.4,0.0, ,14.0,8.0,81,57,10.29,7.18
TASMAN ISLAND,04/08/2022,2.2,0.0, ,13.8,9.3,94,50,8.80,9.19
TASMAN ISLAND,05/08/2022,1.6,0.0, ,12.8,9.2,100,57,7.20,5.14
TASMAN ISLAND,06/08/2022,1.0,0.0, ,8.2,6.5,99,69,6.62,7.24
TASMAN ISLAND,07/08/2022,0.9,0.0, ,9.7,5.2,90,72,2.96,7.27
TASMAN ISLAND,08/08/2022,0.8,0.0, ,10.4,5.5,94,70,2.23,2.40
TASMAN ISLAND,09/08/2022,1.0,0.0, ,10.7,5.6,92,55,1.65,10.10
TASMAN ISLAND,10/08/2022,1.8,0.0, ,11.3,6.1,90,55,6.61,9.80
TASMAN ISLAND,11/08/2022,1.8,0.0, ,12.1,7.3,99,56,9.11,8.27
TASMAN ISLAND,12/08/2022,1.1,0.0, ,12.8,8.0,99,65,2.45,10.18
TASMAN ISLAND,13/08/2022,0.5,0.0, ,11.4,9.0,100,99,3.11,4.49
TASMAN ISLAND,14/08/2022,3.2,0.0, ,11.9,9.7,100,4,8.07,2.23
TASMAN ISLAND,15/08/2022,0.8,0.0, ,13.0,10.1,100,83,3.84,4.82
TASMAN ISLAND,16/08/2022,3.1,0.0, ,10.4,8.1,100,3,8.16,3.79
TASMAN ISLAND,17/08/2022, ,0.0, , ,7.1,55,1,8.26,8.50
TASMAN ISLAND,18/08/2022, , , ,15.7, ,55,35,9.81,9.75
TASMAN ISLAND,19/08/2022, ,0.0, , ,6.6,62,43,6.52,10.67
TASMAN ISLAND,20/08/2022,1.4,0.0, ,7.7,3.9,100,58,8.11,9.35
TASMAN ISLAND,21/08/2022,2.2,0.2, ,11.5,3.4,75,51,6.90,8.69
TASMAN ISLAND,22/08/2022,2.1,0.0, ,8.7,5.9,70,46,5.98,3.84
TASMAN ISLAND,23/08/2022,1.7,0.0, ,8.6,3.5,77,61,5.81,8.29
TASMAN ISLAND,24/08/2022,2.7,0.0, ,11.9,3.3,63,44,7.32,8.04
TASMAN ISLAND,25/08/2022,2.8,0.0, ,10.2,7.2,59,50,8.18,7.14
TASMAN ISLAND,26/08/2022,1.7,0.0, ,12.2,7.7,57,45,1.76,12.27
TASMAN ISLAND,27/08/2022,2.6,0.0, ,11.9,7.9,56,47,5.25,8.17
TASMAN ISLAND,28/08/2022,4.0,0.0, ,13.9,8.4,51,41,9.89,12.05
TASMAN ISLAND,29/08/2022,4.3,0.0, ,15.4,10.3,49,38,8.58,12.48
TASMAN ISLAND,30/08/2022,3.2,0.0, ,12.5,10.2,58,43,7.09,4.93
TASMAN ISLAND,31/08/2022,3.3,0.0, ,15.3,7.5,58,36,5.37,13.25
Totals:,,58.2,0.2, ,,,,,, 
