'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/09/2022,3.0,0.0, ,13.0,10.2,64,43,6.79,5.25
TASMAN ISLAND,02/09/2022,2.1,0.0, ,11.2,4.8,70,48,3.37,13.50
TASMAN ISLAND,03/09/2022,2.3,0.0, ,9.3,5.5,65,54,7.03,8.52
TASMAN ISLAND,04/09/2022,2.2,0.0, ,9.5,6.1,64,54,5.05,8.85
TASMAN ISLAND,05/09/2022,2.2,0.0, ,10.3,6.4,63,54,5.57,5.48
TASMAN ISLAND,06/09/2022,1.8,0.0, ,10.7,5.5,66,48,2.45,10.74
TASMAN ISLAND,07/09/2022,2.8,0.0, ,11.1,6.3,62,48,6.09,13.77
TASMAN ISLAND,08/09/2022, ,0.0, , ,8.4,53,44,9.21,4.49
TASMAN ISLAND,09/09/2022, ,0.0, , , ,100,43,11.42,6.33
TASMAN ISLAND,11/09/2022, , , , , ,100,100,3.82,9.16
TASMAN ISLAND,12/09/2022, , , , , ,100,65,8.29,5.47
TASMAN ISLAND,13/09/2022, , , ,10.0, ,91,60,4.67,13.24
TASMAN ISLAND,14/09/2022,2.3, , ,11.0,5.0,88,59,8.49,16.18
TASMAN ISLAND,15/09/2022,2.4, , ,13.3,8.0,100,55,9.54,14.96
TASMAN ISLAND,16/09/2022,0.5, , ,10.9,9.5,100,97,7.64,4.04
TASMAN ISLAND,17/09/2022, , , , ,8.2,100,70,7.92,15.32
TASMAN ISLAND,18/09/2022,2.0, , ,13.9,7.5,91,58,3.93,10.95
TASMAN ISLAND,19/09/2022,1.7, , ,12.0,7.7,99,65,3.85,12.65
TASMAN ISLAND,20/09/2022,2.5, , ,13.8,7.6,93,58,6.07,16.22
TASMAN ISLAND,21/09/2022,2.8, , ,16.6,9.9,75,52,5.81,6.77
TASMAN ISLAND,22/09/2022,2.8, , ,18.6,10.7,100,49,3.59,16.70
TASMAN ISLAND,23/09/2022,1.2, , ,13.7,9.7,100,84,5.49,7.11
TASMAN ISLAND,24/09/2022,2.2, , ,11.5,6.9,80,60,5.94,9.69
TASMAN ISLAND,25/09/2022,2.2, , ,14.1,6.4,97,65,3.31,16.86
TASMAN ISLAND,26/09/2022,2.3, , ,15.4,7.9,96,55,2.67,14.77
TASMAN ISLAND,27/09/2022,2.2, , ,14.3,10.3,100,78,2.83,18.47
TASMAN ISLAND,28/09/2022,1.5, , ,11.5,8.5,100,74,6.28,9.41
TASMAN ISLAND,29/09/2022,2.0, , ,11.1,7.0,100,57,5.60,12.31
TASMAN ISLAND,30/09/2022,2.8, , ,11.8,6.0,76,46,3.69,18.31
Totals:,,49.8,0, ,,,,,, 
