'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/10/2022,3.0, , ,13.4,6.3,75,44,3.40,19.74
TASMAN ISLAND,02/10/2022,2.9, , ,15.0,7.4,96,49,4.70,18.29
TASMAN ISLAND,03/10/2022,2.2, , ,12.8,7.8,84,66,4.20,13.49
TASMAN ISLAND,04/10/2022,2.4, , ,9.7,6.0,99,46,7.01,16.48
TASMAN ISLAND,05/10/2022,2.3, , ,11.4,5.5,81,52,3.63,13.69
TASMAN ISLAND,06/10/2022,1.8, , ,12.8,7.5,100,69,9.74,9.54
TASMAN ISLAND,07/10/2022,2.2, , ,17.3,7.8,100,70,9.16,11.78
TASMAN ISLAND,08/10/2022,2.9, , ,12.5,7.4,80,51,4.27,18.93
TASMAN ISLAND,09/10/2022,2.7, , ,11.5,5.5,79,59,2.99,21.28
TASMAN ISLAND,10/10/2022,2.7, , ,15.2,7.0,94,53,2.31,18.40
TASMAN ISLAND,11/10/2022,2.2, , ,13.5,9.2,98,76,8.26,20.13
TASMAN ISLAND,12/10/2022,1.1, , ,14.1,11.0,100,90,11.02,8.58
TASMAN ISLAND,13/10/2022,0.4, , ,12.9,11.8,100,98,14.00,2.17
TASMAN ISLAND,14/10/2022,2.3, , ,13.3,8.1,100,66,7.18,16.99
TASMAN ISLAND,15/10/2022,2.7, , ,15.6,8.8,98,55,6.60,13.77
TASMAN ISLAND,16/10/2022,2.7, , ,12.4,6.0,78,54,3.04,17.86
TASMAN ISLAND,17/10/2022,2.4, , ,11.1,6.6,92,60,5.13,17.29
TASMAN ISLAND,18/10/2022,2.9, , ,15.5,6.0,86,54,4.28,16.62
TASMAN ISLAND,19/10/2022,3.0, , ,13.2,8.7,99,48,3.75,20.80
TASMAN ISLAND,20/10/2022,2.2, , ,13.5,9.0,96,75,5.65,17.38
TASMAN ISLAND,21/10/2022,1.9, , ,14.6,10.0,100,83,15.36,20.35
TASMAN ISLAND,22/10/2022,0.5, , ,15.1,11.5,100,100,9.61,3.84
TASMAN ISLAND,23/10/2022,2.2, , ,11.1,8.8,100,60,6.31,14.34
TASMAN ISLAND,24/10/2022,1.9, , ,12.7,8.0,100,61,5.82,7.66
TASMAN ISLAND,25/10/2022,0.7, , ,12.9,8.8,100,100,4.60,5.47
TASMAN ISLAND,26/10/2022,0.6, , ,12.2,11.0,100,100,6.88,4.14
TASMAN ISLAND,27/10/2022,1.0, , ,13.2,10.5,100,100,3.69,7.58
TASMAN ISLAND,28/10/2022,1.0, , ,13.0,10.5,100,100,5.56,9.96
TASMAN ISLAND,29/10/2022,1.8, , ,10.1,7.1,100,66,8.10,12.05
TASMAN ISLAND,30/10/2022,3.2, , ,14.2,6.5,93,58,7.14,22.79
TASMAN ISLAND,31/10/2022,4.5, , ,20.4,8.9,100,43,10.82,17.92
Totals:,,66.3, , ,,,,,, 
