'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/11/2022,2.8, , ,11.9,7.3,89,54,3.86,18.69
TASMAN ISLAND,02/11/2022,2.3, , ,11.0,4.8,98,56,5.09,14.67
TASMAN ISLAND,03/11/2022,2.3, , ,11.6,5.0,92,66,5.15,16.82
TASMAN ISLAND,04/11/2022,3.0, , ,14.7,8.8,95,57,2.50,20.45
TASMAN ISLAND,05/11/2022,2.1, , ,15.0,9.2,100,86,2.10,15.57
TASMAN ISLAND,06/11/2022,3.7, , ,18.6,9.3,100,55,4.55,23.50
TASMAN ISLAND,07/11/2022,3.4, , ,15.7,10.2,100,64,4.76,25.97
TASMAN ISLAND,08/11/2022,4.4, , ,18.8,11.2,100,42,3.92,26.65
TASMAN ISLAND,09/11/2022,2.9, , ,17.1,13.0,100,81,8.90,25.73
TASMAN ISLAND,10/11/2022,2.9, , ,17.6,13.1,100,78,15.86,27.13
TASMAN ISLAND,11/11/2022,1.9, , ,19.6,13.3,100,80,7.45,9.46
TASMAN ISLAND,12/11/2022, , , ,14.4,9.0,85,55,4.76, 
TASMAN ISLAND,13/11/2022,1.4, , ,11.5,9.2,100,65,5.62,3.68
TASMAN ISLAND,14/11/2022,1.5, , ,11.5,10.2,100,72,6.60,6.43
TASMAN ISLAND,15/11/2022,0.9, , ,7.9,6.3,100,81,9.29,3.22
TASMAN ISLAND,16/11/2022,2.3, , ,10.6,5.6,99,59,8.47,15.20
TASMAN ISLAND,17/11/2022,2.1, , ,12.7,6.1,100,74,7.03,16.42
TASMAN ISLAND,18/11/2022,3.3, , ,14.7,8.6,99,72,4.45,27.47
TASMAN ISLAND,19/11/2022,2.6, , ,13.8,10.4,100,74,12.45,24.25
TASMAN ISLAND,20/11/2022,3.1, , ,14.3,10.1,100,55,5.70,19.45
TASMAN ISLAND,21/11/2022, , , , ,6.8,97,61,7.37,12.25
TASMAN ISLAND,22/11/2022, ,5.4, , , ,92,55,6.08,18.22
TASMAN ISLAND,23/11/2022, ,2.0, ,12.6, ,100,56,7.60,26.02
TASMAN ISLAND,24/11/2022,2.3,0.0, ,13.1,7.9,96,80,6.15,19.11
TASMAN ISLAND,25/11/2022,2.0,0.0, ,12.4,8.8,100,72,4.37,13.12
TASMAN ISLAND,26/11/2022,1.7,3.2, ,13.7,8.7,100,80,8.11,11.54
TASMAN ISLAND,27/11/2022,2.7,2.2, ,15.6,10.9,98,57,5.91,12.38
TASMAN ISLAND,28/11/2022,3.5,3.0, ,15.7,7.1,91,49,6.52,18.90
TASMAN ISLAND,29/11/2022,3.5,3.0, ,13.9,5.4,90,57,5.70,25.70
TASMAN ISLAND,30/11/2022,3.9,0.0, ,15.8,7.8,84,60,6.32,26.62
Totals:,,68.5,18.8, ,,,,,, 
