'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/12/2022,3.7,0.0, ,13.8,9.3,83,54,4.13,24.29
TASMAN ISLAND,02/12/2022,3.8,0.0, ,16.3,8.1,94,68,4.91,29.78
TASMAN ISLAND,03/12/2022,4.8,0.0, ,20.2,10.3,100,50,3.40,30.40
TASMAN ISLAND,04/12/2022,2.7,0.0, ,16.6,10.4,100,78,2.31,18.34
TASMAN ISLAND,05/12/2022,1.7,5.8, ,12.1,10.2,100,63,7.72,5.12
TASMAN ISLAND,06/12/2022, ,0.2, , ,8.5,80,59,6.12,15.44
TASMAN ISLAND,07/12/2022,4.7, , ,13.9,8.4,90,24,6.38,27.62
TASMAN ISLAND,08/12/2022,4.5,2.6, ,11.1,8.2,94,1,11.00,14.03
TASMAN ISLAND,09/12/2022,3.7,4.8, ,12.5,6.3,58,44,7.88,12.43
TASMAN ISLAND,10/12/2022,4.4,5.2, ,14.8,8.8,52,38,4.96,19.75
TASMAN ISLAND,11/12/2022,5.5,0.0, ,14.8,11.2,45,37,10.39,16.69
TASMAN ISLAND,12/12/2022,3.8,12.8, ,13.0,11.4,46,41,6.11,7.90
TASMAN ISLAND,13/12/2022,4.4,0.8, ,14.9,9.7,55,37,4.47,20.39
TASMAN ISLAND,14/12/2022,4.4,19.4, ,12.8,8.1,59,43,7.52,22.50
TASMAN ISLAND,15/12/2022,2.9,2.2, ,10.5,7.2,59,50,6.52,6.90
TASMAN ISLAND,16/12/2022,3.9,2.0, ,13.6,8.7,53,39,5.44,13.85
TASMAN ISLAND,17/12/2022,3.9,1.4, ,13.6,8.8,54,40,5.23,14.34
TASMAN ISLAND,18/12/2022,5.2,0.6, ,15.2,9.0,51,36,3.35,32.20
TASMAN ISLAND,19/12/2022,3.1,0.0, ,13.7,9.5,50,41,3.13,10.68
TASMAN ISLAND,20/12/2022,4.1,0.8, ,15.6,9.7,49,36,2.71,20.35
TASMAN ISLAND,21/12/2022,5.4,0.2, ,15.4,10.4,48,36,6.17,26.52
TASMAN ISLAND,22/12/2022,6.2,0.0, ,15.9,11.5,44,34,7.93,29.57
TASMAN ISLAND,23/12/2022,5.8,0.0, ,17.7,11.6,44,31,4.62,27.80
TASMAN ISLAND,24/12/2022,5.8,0.0, ,18.5,13.6,44,30,4.13,26.82
TASMAN ISLAND,25/12/2022,6.4,0.0, ,20.9,11.7,41,26,4.01,30.93
TASMAN ISLAND,26/12/2022,3.7,0.0, ,18.1,13.2,40,31,2.48,11.90
TASMAN ISLAND,27/12/2022,8.8,0.0, ,23.7,13.8,38,23,9.24,29.48
TASMAN ISLAND,28/12/2022,8.7,0.2, ,25.2,15.6,47,19,10.01,18.01
TASMAN ISLAND,29/12/2022,5.4,1.8, ,16.4,9.8,50,34,3.65,31.53
TASMAN ISLAND,30/12/2022,6.6,0.0, ,17.8,12.0,42,30,6.74,30.25
TASMAN ISLAND,31/12/2022,7.0,2.0, ,17.4,14.0,37,31,11.39,18.82
Totals:,,145,62.8, ,,,,,, 
