'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/01/2023,7.9,0.2, ,18.3,15.5,34,32,15.30,15.67
TASMAN ISLAND,02/01/2023,6.8,0.0, ,20.2,15.5,41,28,8.97,12.89
TASMAN ISLAND,03/01/2023,4.3,0.0, ,15.2,11.2,48,37,5.04,14.74
TASMAN ISLAND,04/01/2023,5.0,0.0, ,16.3,9.9,48,34,3.86,26.21
TASMAN ISLAND,05/01/2023,4.4,6.0, ,15.4,11.1,47,35,3.70,19.31
TASMAN ISLAND,06/01/2023,3.8,0.0, ,15.4,10.3,48,36,2.61,18.07
TASMAN ISLAND,07/01/2023,5.9,0.0, ,16.3,12.0,43,34,7.84,22.05
TASMAN ISLAND,08/01/2023,7.7,0.0, ,17.9,13.3,39,31,11.54,31.49
TASMAN ISLAND,09/01/2023,5.4,0.0, ,18.7,14.1,45,29,4.45,20.08
TASMAN ISLAND,10/01/2023,5.3,0.0, ,17.1,11.6,45,32,2.75,30.58
TASMAN ISLAND,11/01/2023,6.6,0.0, ,16.9,11.1,46,33,8.72,31.25
TASMAN ISLAND,12/01/2023,5.6,0.0, ,20.2,13.4,39,26,3.92,22.13
TASMAN ISLAND,13/01/2023,7.8,0.0, ,21.7,15.3,35,25,7.38,27.11
TASMAN ISLAND,14/01/2023,9.0,0.2, ,20.3,15.6,34,29,15.79,24.30
TASMAN ISLAND,15/01/2023,6.5,0.0, ,15.0,12.6,46,26,9.91,27.17
TASMAN ISLAND,16/01/2023,5.6,0.0, ,17.1,10.4,48,33,4.99,28.14
TASMAN ISLAND,17/01/2023,7.0,0.0, ,18.3,12.9,39,30,12.55,14.19
TASMAN ISLAND,18/01/2023,5.5,5.8, ,14.9,13.6,50,29,8.17,16.33
TASMAN ISLAND,19/01/2023,4.8,1.8, ,14.7,9.1,53,41,8.19,20.36
TASMAN ISLAND,20/01/2023,5.0,0.2, ,18.2,8.9,44,30,2.66,27.84
TASMAN ISLAND,21/01/2023,4.4,0.0, ,19.5,13.1,42,27,2.99,14.94
TASMAN ISLAND,22/01/2023,4.6,2.0, ,17.1,12.0,43,32,4.08,16.68
TASMAN ISLAND,23/01/2023,7.5,0.0, ,19.1,13.2,36,28,9.11,29.34
TASMAN ISLAND,24/01/2023,7.7,0.0, ,20.3,15.1,36,27,7.88,29.24
TASMAN ISLAND,25/01/2023,6.4,0.0, ,21.0,13.9,38,26,5.16,24.08
TASMAN ISLAND,26/01/2023,5.5,0.0, ,16.4,12.7,46,34,5.66,24.77
TASMAN ISLAND,27/01/2023,6.9,0.0, ,17.7,11.0,46,31,10.80,29.05
TASMAN ISLAND,28/01/2023,8.8,0.0, ,24.3,14.8,38,21,11.67,13.72
TASMAN ISLAND,29/01/2023,5.2,0.0, ,19.8,13.1,40,27,3.06,23.72
TASMAN ISLAND,30/01/2023,5.6,0.0, ,18.8,12.9,40,29,4.20,25.07
TASMAN ISLAND,31/01/2023,3.8,0.0, ,19.9,14.7,95,27,2.38,18.34
Totals:,,186.3,16.2, ,,,,,, 
