'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for February 2023,,,,,,,,,,
Issued at 04:31 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/02/2023,3.2,0.0, ,17.2,14.0,97,54,5.70,15.29
TASMAN ISLAND,02/02/2023,4.9,4.6, ,16.9,9.7,92,6,7.56,11.64
TASMAN ISLAND,03/02/2023,4.9,1.8, ,17.1,9.9,48,33,3.56,25.86
TASMAN ISLAND,04/02/2023,4.5,5.2, ,14.0,11.0,46,38,9.17,5.64
TASMAN ISLAND,05/02/2023,5.6,16.6, ,16.0,10.9,46,34,6.95,26.26
TASMAN ISLAND,06/02/2023,5.5,0.0, ,17.9,12.8,41,32,4.81,23.49
TASMAN ISLAND,07/02/2023,5.4,0.0, ,14.7,11.3,45,38,8.02,23.99
TASMAN ISLAND,08/02/2023,3.7,0.0, ,15.0,10.5,47,37,4.00,12.70
TASMAN ISLAND,09/02/2023,5.8,0.0, ,17.8,11.1,44,31,8.30,17.33
TASMAN ISLAND,10/02/2023,4.5,5.2, ,17.9,13.7,39,31,4.28,12.61
TASMAN ISLAND,11/02/2023,4.2,11.6, ,17.9,13.5,37,31,3.31,13.31
TASMAN ISLAND,12/02/2023,5.6,1.2, ,18.2,14.6,43,30,6.66,15.22
TASMAN ISLAND,13/02/2023,4.4,0.0, ,18.4,11.6,45,32,4.54,12.48
TASMAN ISLAND,14/02/2023,4.8,0.6, ,19.8,11.0,46,27,2.96,22.97
TASMAN ISLAND,15/02/2023,6.3,0.0, ,20.1,12.7,37,27,6.85,19.61
TASMAN ISLAND,16/02/2023,4.5,0.0, ,22.4,14.7,36,23,3.38,9.58
TASMAN ISLAND,17/02/2023,9.6,0.2, ,26.6,16.9,36,19,10.65,19.64
TASMAN ISLAND,18/02/2023,4.9,0.0, ,20.5,13.4,44,26,4.31,13.71
TASMAN ISLAND,19/02/2023,6.2,8.2, ,23.8,11.6,40,21,4.60,22.82
TASMAN ISLAND,20/02/2023,4.1,2.0, ,14.4,11.4,45,32,5.88,8.64
TASMAN ISLAND,21/02/2023,4.6,4.6, ,14.2,9.4,50,38,6.76,20.11
TASMAN ISLAND,22/02/2023,4.7,0.6, ,15.4,9.6,48,36,5.79,22.12
TASMAN ISLAND,23/02/2023,7.4,0.0, ,18.2,12.2,39,29,14.46,21.79
TASMAN ISLAND,24/02/2023,8.6,0.0, ,19.9,14.8,33,27,15.10,22.62
TASMAN ISLAND,25/02/2023,7.5,0.0, ,24.9,16.9,32,21,7.26,14.21
TASMAN ISLAND,26/02/2023,3.9,58.4, ,16.3,14.6,43,32,4.50,6.47
TASMAN ISLAND,27/02/2023,4.3,18.6, ,14.6,11.3,46,37,6.32,12.47
TASMAN ISLAND,28/02/2023,3.0,0.2, ,16.3,11.1,46,34,2.34,10.39
Totals:,,146.6,139.6, ,,,,,, 
