Species,Site,Plot,Tree,StandBA
AMYG,CMP,A,1,70
AMYG,CMP,A,2,90
AMYG,CMP,A,3,50
AMYG,CMP,A,4,60
AMYG,CMP,A,5,120
AMYG,CMP,B,1,40
AMYG,CMP,B,2,30
AMYG,CMP,B,3,40
AMYG,CMP,B,4,30
AMYG,CMP,B,5,80
AMYG,CMP,C,1,60
AMYG,CMP,C,2,20
AMYG,CMP,C,3,30
AMYG,CMP,C,4,80
AMYG,CMP,C,5,60
AMYG,EPF,A,1,70
AMYG,EPF,A,2,70
AMYG,EPF,A,3,50
AMYG,EPF,A,4,60
AMYG,EPF,A,5,100
AMYG,EPF,B,1,100
AMYG,EPF,B,2,110
AMYG,EPF,B,3,110
AMYG,EPF,B,4,120
AMYG,EPF,B,5,80
AMYG,EPF,C,1,90
AMYG,EPF,C,2,100
AMYG,EPF,C,3,30
AMYG,EPF,C,4,160
AMYG,EPF,C,5,60
AMYG,GRA,A,1,50
AMYG,GRA,A,2,90
AMYG,GRA,A,3,90
AMYG,GRA,A,4,130
AMYG,GRA,A,5,110
AMYG,GRA,B,1,60
AMYG,GRA,B,2,50
AMYG,GRA,B,3,120
AMYG,GRA,B,4,100
AMYG,GRA,B,5,90
AMYG,GRA,C,1,70
AMYG,GRA,C,2,70
AMYG,GRA,C,3,100
AMYG,GRA,C,4,70
AMYG,GRA,C,5,50
AMYG,MER,A,1,80
AMYG,MER,A,2,80
AMYG,MER,A,3,160
AMYG,MER,A,4,90
AMYG,MER,A,5,100
AMYG,MER,B,1,60
AMYG,MER,B,2,60
AMYG,MER,B,3,40
AMYG,MER,B,4,40
AMYG,MER,B,5,100
AMYG,MER,C,1,140
AMYG,MER,C,2,140
AMYG,MER,C,3,150
AMYG,MER,C,4,90
AMYG,MER,C,5,120
AMYG,TMP,A,1,80
AMYG,TMP,A,2,50
AMYG,TMP,A,3,90
AMYG,TMP,A,4,200
AMYG,TMP,A,5,130
AMYG,TMP,B,1,80
AMYG,TMP,B,2,70
AMYG,TMP,B,3,70
AMYG,TMP,B,4,90
AMYG,TMP,B,5,50
AMYG,TMP,C,1,80
AMYG,TMP,C,2,10
AMYG,TMP,C,3,30
AMYG,TMP,C,4,10
AMYG,TMP,C,5,90
OBLI,BOF,A,1,60
OBLI,BOF,A,2,100
OBLI,BOF,A,3,120
OBLI,BOF,A,4,120
OBLI,BOF,A,5,90
OBLI,BOF,B,1,130
OBLI,BOF,B,2,200
OBLI,BOF,B,3,150
OBLI,BOF,B,4,130
OBLI,BOF,B,5,140
OBLI,BOF,C,1,160
OBLI,BOF,C,2,110
OBLI,BOF,C,3,80
OBLI,BOF,C,4,100
OBLI,BOF,C,5,120
OBLI,GRA,A,1,90
OBLI,GRA,A,2,130
OBLI,GRA,A,3,100
OBLI,GRA,A,4,90
OBLI,GRA,A,5,60
OBLI,GRA,B,1,50
OBLI,GRA,B,2,50
OBLI,GRA,B,3,110
OBLI,GRA,B,4,60
OBLI,GRA,B,5,50
OBLI,GRA,C,1,150
OBLI,GRA,C,2,140
OBLI,GRA,C,3,130
OBLI,GRA,C,4,160
OBLI,GRA,C,5,150
OBLI,MER,A,1,120
OBLI,MER,A,2,140
OBLI,MER,A,3,10
OBLI,MER,A,4,30
OBLI,MER,A,5,80
OBLI,MER,B,1,130
OBLI,MER,B,2,80
OBLI,MER,B,3,130
OBLI,MER,B,4,80
OBLI,MER,B,5,60
OBLI,MER,C,1,100
OBLI,MER,C,2,160
OBLI,MER,C,3,80
OBLI,MER,C,4,120
OBLI,MER,C,5,150
OBLI,TMP,A,1,100
OBLI,TMP,A,2,130
OBLI,TMP,A,3,80
OBLI,TMP,A,4,120
OBLI,TMP,A,5,170
OBLI,TMP,B,1,160
OBLI,TMP,B,2,210
OBLI,TMP,B,3,190
OBLI,TMP,B,4,270
OBLI,TMP,B,5,180
OBLI,TMP,C,1,140
OBLI,TMP,C,2,130
OBLI,TMP,C,3,160
OBLI,TMP,C,4,190
OBLI,TMP,C,5,210
OVAT,CMP,A,1,50
OVAT,CMP,A,2,70
OVAT,CMP,A,3,140
OVAT,CMP,A,4,50
OVAT,CMP,A,5,110
OVAT,CMP,B,1,30
OVAT,CMP,B,2,60
OVAT,CMP,B,3,40
OVAT,CMP,B,4,70
OVAT,CMP,B,5,30
OVAT,CMP,C,1,70
OVAT,CMP,C,2,80
OVAT,CMP,C,3,80
OVAT,CMP,C,4,110
OVAT,CMP,C,5,120
OVAT,EPF,A,1,100
OVAT,EPF,A,2,20
OVAT,EPF,A,3,30
OVAT,EPF,A,4,80
OVAT,EPF,A,5,40
OVAT,EPF,B,1,110
OVAT,EPF,B,2,80
OVAT,EPF,B,3,110
OVAT,EPF,B,4,80
OVAT,EPF,B,5,40
OVAT,EPF,C,1,220
OVAT,EPF,C,2,160
OVAT,EPF,C,3,190
OVAT,EPF,C,4,90
OVAT,EPF,C,5,70
OVAT,GRA,A,1,90
OVAT,GRA,A,2,80
OVAT,GRA,A,3,80
OVAT,GRA,A,4,50
OVAT,GRA,A,5,50
OVAT,GRA,B,1,30
OVAT,GRA,B,2,50
OVAT,GRA,B,3,100
OVAT,GRA,B,4,50
OVAT,GRA,B,5,80
OVAT,GRA,C,1,80
OVAT,GRA,C,2,90
OVAT,GRA,C,3,70
OVAT,GRA,C,4,70
OVAT,GRA,C,5,100
OVAT,MER,A,1,70
OVAT,MER,A,2,30
OVAT,MER,A,3,80
OVAT,MER,A,4,70
OVAT,MER,A,5,100
OVAT,MER,B,1,50
OVAT,MER,B,2,10
OVAT,MER,B,3,30
OVAT,MER,B,4,120
OVAT,MER,B,5,100
OVAT,MER,C,1,150
OVAT,MER,C,2,60
OVAT,MER,C,3,70
OVAT,MER,C,4,80
OVAT,MER,C,5,130
VIMI,EPF,A,1,80
VIMI,EPF,A,2,90
VIMI,EPF,A,3,160
VIMI,EPF,A,4,130
VIMI,EPF,A,5,70
VIMI,EPF,B,1,90
VIMI,EPF,B,2,30
VIMI,EPF,B,3,80
VIMI,EPF,B,4,80
VIMI,EPF,B,5,60
VIMI,EPF,C,1,100
VIMI,EPF,C,2,110
VIMI,EPF,C,3,150
VIMI,EPF,C,4,140
VIMI,EPF,C,5,100
VIMI,FREY,A,1,90
VIMI,FREY,A,2,120
VIMI,FREY,A,3,130
VIMI,FREY,A,4,60
VIMI,FREY,A,5,100
VIMI,FREY,B,1,50
VIMI,FREY,B,2,90
VIMI,FREY,B,3,140
VIMI,FREY,B,4,90
VIMI,FREY,B,5,110
VIMI,FREY,C,1,130
VIMI,FREY,C,2,20
VIMI,FREY,C,3,80
VIMI,FREY,C,4,70
VIMI,FREY,C,5,60
VIMI,GRA,A,1,110
VIMI,GRA,A,2,130
VIMI,GRA,A,3,50
VIMI,GRA,A,4,60
VIMI,GRA,A,5,80
VIMI,GRA,B,1,80
VIMI,GRA,B,2,60
VIMI,GRA,B,3,50
VIMI,GRA,B,4,40
VIMI,GRA,B,5,60
VIMI,GRA,C,1,60
VIMI,GRA,C,2,60
VIMI,GRA,C,3,50
VIMI,GRA,C,4,50
VIMI,GRA,C,5,40
VIMI,MER,A,1,110
VIMI,MER,A,2,90
VIMI,MER,A,3,90
VIMI,MER,A,4,110
VIMI,MER,A,5,100
VIMI,MER,B,1,20
VIMI,MER,B,2,10
VIMI,MER,B,3,50
VIMI,MER,B,4,50
VIMI,MER,B,5,50
VIMI,MER,C,1,50
VIMI,MER,C,2,130
VIMI,MER,C,3,90
VIMI,MER,C,4,120
VIMI,MER,C,5,110
VIMI,TMP,A,1,70
VIMI,TMP,A,2,60
VIMI,TMP,A,3,150
VIMI,TMP,A,4,150
VIMI,TMP,A,5,80
VIMI,TMP,B,1,160
VIMI,TMP,B,2,170
VIMI,TMP,B,3,160
VIMI,TMP,B,4,180
VIMI,TMP,B,5,230
VIMI,TMP,C,1,150
VIMI,TMP,C,2,110
VIMI,TMP,C,3,220
VIMI,TMP,C,4,210
VIMI,TMP,C,5,200
