Page,Date_surveys,Site,Focal_sp,Plot,Tree,Neighbour_sp_ID,Neighbour_DBH_cm,Neighbour_distance_m,Notes_surveys,Neighbour_DBH_cm_2,Neighbour_DBH_cm_3,Neighbour_DBH_cm_4,Neighbour_DBH_cm_5,Neighbour_DBH_cm_6,Neighbour_DBH_cm_7,Neighbour_DBH_cm_8,Neighbour_DBH_cm_9,Neighbour_DBH_cm_10,Neighbour_DBH_cm_11
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus amygdalina,13,5.513,N to E,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus amygdalina,15.7,8.5,,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus viminalis,10.5,7.03,,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus viminalis,50.8,7.12,,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus amygdalina,9.3,8.6,E to S,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus amygdalina,19.7,2.152,,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus viminalis,24.1,2.2,,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus amygdalina,19,2.67,,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus viminalis,14,5.25,,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus viminalis,20.3,5.4,,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus amygdalina,18.7,3.38,S to W,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus amygdalina,22.2,5.88,,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus obliqua,23,6.39,,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus obliqua,26.7,6.78,,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus amygdalina,5.8,9.76,,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus rodwayi,8.1,9.8,,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus obliqua,13.1,9.14,,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus viminalis,10.8,3.1,W to N,,,,,,,,,,
1,9/02/2021,GRA,AMYG,A,7,Eucalyptus viminalis,10.3,2.48,,,,,,,,,,,
