Page,Date,Focal_tree,Site,Focal_sp,Plot,Tree,Transect_d,Transect_m,Family,Genus,Species,Individuals,Height_cm,Width_cm
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,1,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,1,Laxmaniaceae,Lomandara,longifolia,1,18,1
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,2,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,2,Fabaceae - Faboideae,Platylobium,triangulare,2,10,0.2
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,2,Laxmaniaceae,Lomandara,longifolia,4,35,1
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,3,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,4,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,4,Fabaceae - Faboideae,Platylobium,triangulare,3,5,0.5
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,5,Laxmaniaceae,Lomandara,longifolia,2,18,7
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,6,Laxmaniaceae,Lomandara,longifolia,1,23,1
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,7,,,,,,
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,8,Laxmaniaceae,Lomandara,longifolia,1,32,1
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,9,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,9,Laxmaniaceae,Lomandara,longifolia,1,26,0.5
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,N,10,Laxmaniaceae,Lomandara,longifolia,3,32,1
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,E,1,Asphodelaceae,Thelionema,caespitosum,1,26,0.5
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,E,2,Asphodelaceae,Thelionema,caespitosum,1,17,8
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,E,2,Fabaceae - Faboideae,Platylobium,triangulare,1,23,26
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,E,3,,,,,,
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,E,4,Asphodelaceae,Thelionema,caespitosum,1,6,17
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,E,5,Asphodelaceae,Thelionema,caespitosum,1,20,29
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,E,6,Laxmaniaceae,Lomandara,longifolia,2,16.5,0.5
