Site,Focal_sp,Plot,Tree,Notes
EPF,OVAT,B,3,No GPS coordinates
EPF,OVAT,C,3,No GPS coordinates
TMP,OBLI,C,1,Could not find Jan 2022
GRA,OBLI,C,1,No GPS coordinates
GRA,OBLI,C,2,No GPS coordinates
GRA,VIMI,A,5,No GPS coordinates
GRA,VIMI,C,8,No GPS coordinates
GRA,VIMI,B,3,This is GLOB. Surveyed
GRA,VIMI,B,4,This is TENU. Not surveyed
GRA,OVAT,A,1,This is pulchella. Not surveyed
GRA,VIMI,A,7,This is TENU. Not surveyed
TMP,OBLI,B,5,This is melaleuca
TMP,OBLI,B,4,This is melaleuca
EPF,OVAT,B,1,Tree not healthy
DOG,OBLI,D,7,"Tree not healthy, died"
TMP,OBLI,B,2,Loose band
TMP,OBLI,A,6,Loose band
EPF,VIMI,C,4,"Bark loose, interfering measurements"
EPF,OVAT,C,2,Overlapping neighbourhood with OV C1
BOF,VIMI,B,4,Overlapping neighbourhood with OV C1
